RUN	GenericSageMakerScenario	1628677457-ml.m5.large-1-6TPS	1628677458784	 	3.2.0
USER	SageMaker	1	START	1628677460962	1628677460962
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628677460999	1628677461029	OK	 
USER	SageMaker	1	END	1628677460962	1628677461055
USER	SageMaker	2	START	1628677461132	1628677461132
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628677461134	1628677461158	OK	 
USER	SageMaker	2	END	1628677461132	1628677461160
USER	SageMaker	3	START	1628677461292	1628677461292
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628677461294	1628677461322	OK	 
USER	SageMaker	3	END	1628677461292	1628677461324
USER	SageMaker	4	START	1628677461472	1628677461472
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628677461475	1628677461503	OK	 
USER	SageMaker	4	END	1628677461472	1628677461505
USER	SageMaker	5	START	1628677461642	1628677461642
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628677461644	1628677461658	OK	 
USER	SageMaker	5	END	1628677461642	1628677461659
USER	SageMaker	6	START	1628677461802	1628677461802
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628677461805	1628677461827	OK	 
USER	SageMaker	6	END	1628677461802	1628677461829
USER	SageMaker	7	START	1628677461972	1628677461972
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628677461975	1628677462000	OK	 
USER	SageMaker	7	END	1628677461972	1628677462001
USER	SageMaker	8	START	1628677462132	1628677462132
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628677462134	1628677462160	OK	 
USER	SageMaker	8	END	1628677462132	1628677462161
USER	SageMaker	9	START	1628677462302	1628677462302
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628677462305	1628677462327	OK	 
USER	SageMaker	9	END	1628677462302	1628677462329
USER	SageMaker	10	START	1628677462463	1628677462463
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628677462465	1628677462490	OK	 
USER	SageMaker	10	END	1628677462463	1628677462491
USER	SageMaker	11	START	1628677462632	1628677462632
