RUN	GenericSageMakerScenario	1628677642-ml.m5.large-1-7TPS	1628677644683	 	3.2.0
USER	SageMaker	1	START	1628677647025	1628677647025
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628677647062	1628677647098	OK	 
USER	SageMaker	1	END	1628677647025	1628677647124
USER	SageMaker	2	START	1628677647166	1628677647166
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628677647168	1628677647195	OK	 
USER	SageMaker	2	END	1628677647166	1628677647196
USER	SageMaker	3	START	1628677647306	1628677647306
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628677647308	1628677647337	OK	 
USER	SageMaker	3	END	1628677647306	1628677647338
USER	SageMaker	4	START	1628677647456	1628677647456
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628677647459	1628677647483	OK	 
USER	SageMaker	4	END	1628677647456	1628677647484
USER	SageMaker	5	START	1628677647596	1628677647596
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628677647598	1628677647624	OK	 
USER	SageMaker	5	END	1628677647596	1628677647625
USER	SageMaker	6	START	1628677647735	1628677647735
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628677647737	1628677647757	OK	 
USER	SageMaker	6	END	1628677647735	1628677647759
USER	SageMaker	7	START	1628677647885	1628677647885
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628677647888	1628677647910	OK	 
USER	SageMaker	7	END	1628677647885	1628677647911
USER	SageMaker	8	START	1628677648026	1628677648026
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628677648028	1628677648050	OK	 
USER	SageMaker	8	END	1628677648026	1628677648051
USER	SageMaker	9	START	1628677648166	1628677648166
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628677648168	1628677648194	OK	 
USER	SageMaker	9	END	1628677648166	1628677648195
USER	SageMaker	10	START	1628677648316	1628677648316
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628677648318	1628677648340	OK	 
USER	SageMaker	10	END	1628677648316	1628677648341
USER	SageMaker	11	START	1628677648456	1628677648456
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628677648458	1628677648482	OK	 
USER	SageMaker	11	END	1628677648456	1628677648484
USER	SageMaker	12	START	1628677648596	1628677648596
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628677648598	1628677648622	OK	 
USER	SageMaker	12	END	1628677648596	1628677648623
USER	SageMaker	13	START	1628677648735	1628677648735
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628677648738	1628677648762	OK	 
USER	SageMaker	13	END	1628677648735	1628677648764
USER	SageMaker	14	START	1628677648885	1628677648885
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628677648888	1628677648908	OK	 
USER	SageMaker	14	END	1628677648885	1628677648909
USER	SageMaker	15	START	1628677649026	1628677649026
