RUN	GenericSageMakerScenario	1628676899-ml.m5.large-1-3TPS	1628676901792	 	3.2.0
USER	SageMaker	1	START	1628676904152	1628676904152
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628676904188	1628676904227	OK	 
USER	SageMaker	1	END	1628676904152	1628676904256
USER	SageMaker	2	START	1628676904481	1628676904481
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628676904484	1628676904513	OK	 
USER	SageMaker	2	END	1628676904481	1628676904515
USER	SageMaker	3	START	1628676904821	1628676904821
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628676904823	1628676904850	OK	 
USER	SageMaker	3	END	1628676904821	1628676904852
USER	SageMaker	4	START	1628676905152	1628676905152
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628676905154	1628676905178	OK	 
USER	SageMaker	4	END	1628676905152	1628676905180
USER	SageMaker	5	START	1628676905481	1628676905481
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628676905484	1628676905519	OK	 
USER	SageMaker	5	END	1628676905481	1628676905521
USER	SageMaker	6	START	1628676905811	1628676905811
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628676905813	1628676905847	OK	 
USER	SageMaker	6	END	1628676905811	1628676905849
USER	SageMaker	7	START	1628676906151	1628676906151
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628676906153	1628676906182	OK	 
USER	SageMaker	7	END	1628676906151	1628676906183
USER	SageMaker	8	START	1628676906481	1628676906481
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628676906484	1628676906508	OK	 
USER	SageMaker	8	END	1628676906481	1628676906509
USER	SageMaker	9	START	1628676906812	1628676906812
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628676906814	1628676906836	OK	 
USER	SageMaker	9	END	1628676906812	1628676906837
USER	SageMaker	10	START	1628676907151	1628676907151
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628676907154	1628676907180	OK	 
USER	SageMaker	10	END	1628676907151	1628676907181
USER	SageMaker	11	START	1628676907481	1628676907481
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628676907483	1628676907497	OK	 
USER	SageMaker	11	END	1628676907481	1628676907498
USER	SageMaker	12	START	1628676907812	1628676907812
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628676907814	1628676907841	OK	 
USER	SageMaker	12	END	1628676907812	1628676907842
USER	SageMaker	13	START	1628676908151	1628676908151
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628676908153	1628676908189	OK	 
USER	SageMaker	13	END	1628676908151	1628676908191
USER	SageMaker	14	START	1628676908482	1628676908482
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628676908484	1628676908508	OK	 
USER	SageMaker	14	END	1628676908482	1628676908510
USER	SageMaker	15	START	1628676908811	1628676908811
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628676908814	1628676908845	OK	 
USER	SageMaker	15	END	1628676908811	1628676908847
USER	SageMaker	16	START	1628676909151	1628676909151
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628676909153	1628676909167	OK	 
USER	SageMaker	16	END	1628676909151	1628676909168
USER	SageMaker	17	START	1628676909481	1628676909481
REQUEST	17		SageMaker-LEARNING-model-simulator-1	1628676909483	1628676909505	OK	 
USER	SageMaker	17	END	1628676909481	1628676909506
USER	SageMaker	18	START	1628676909811	1628676909811
REQUEST	18		SageMaker-LEARNING-model-simulator-1	1628676909813	1628676909836	OK	 
USER	SageMaker	18	END	1628676909811	1628676909837
USER	SageMaker	19	START	1628676910151	1628676910151
REQUEST	19		SageMaker-LEARNING-model-simulator-1	1628676910153	1628676910178	OK	 
USER	SageMaker	19	END	1628676910151	1628676910180
USER	SageMaker	20	START	1628676910482	1628676910482
REQUEST	20		SageMaker-LEARNING-model-simulator-1	1628676910484	1628676910511	OK	 
USER	SageMaker	20	END	1628676910482	1628676910512
USER	SageMaker	21	START	1628676910811	1628676910811
REQUEST	21		SageMaker-LEARNING-model-simulator-1	1628676910813	1628676910834	OK	 
USER	SageMaker	21	END	1628676910811	1628676910836
USER	SageMaker	22	START	1628676911151	1628676911151
REQUEST	22		SageMaker-LEARNING-model-simulator-1	1628676911153	1628676911167	OK	 
USER	SageMaker	22	END	1628676911151	1628676911168
USER	SageMaker	23	START	1628676911481	1628676911481
REQUEST	23		SageMaker-LEARNING-model-simulator-1	1628676911483	1628676911506	OK	 
USER	SageMaker	23	END	1628676911481	1628676911507
USER	SageMaker	24	START	1628676911811	1628676911811
REQUEST	24		SageMaker-LEARNING-model-simulator-1	1628676911813	1628676911834	OK	 
USER	SageMaker	24	END	1628676911811	1628676911835
USER	SageMaker	25	START	1628676912151	1628676912151
REQUEST	25		SageMaker-LEARNING-model-simulator-1	1628676912153	1628676912175	OK	 
USER	SageMaker	25	END	1628676912151	1628676912176
USER	SageMaker	26	START	1628676912482	1628676912482
REQUEST	26		SageMaker-LEARNING-model-simulator-1	1628676912483	1628676912508	OK	 
USER	SageMaker	26	END	1628676912482	1628676912510
USER	SageMaker	27	START	1628676912811	1628676912811
REQUEST	27		SageMaker-LEARNING-model-simulator-1	1628676912813	1628676912848	OK	 
USER	SageMaker	27	END	1628676912811	1628676912849
USER	SageMaker	28	START	1628676913151	1628676913151
REQUEST	28		SageMaker-LEARNING-model-simulator-1	1628676913153	1628676913185	OK	 
USER	SageMaker	28	END	1628676913151	1628676913187
USER	SageMaker	29	START	1628676913481	1628676913481
REQUEST	29		SageMaker-LEARNING-model-simulator-1	1628676913483	1628676913495	OK	 
USER	SageMaker	29	END	1628676913481	1628676913496
USER	SageMaker	30	START	1628676913811	1628676913811
REQUEST	30		SageMaker-LEARNING-model-simulator-1	1628676913813	1628676913848	OK	 
USER	SageMaker	30	END	1628676913811	1628676913850
USER	SageMaker	31	START	1628676914152	1628676914152
REQUEST	31		SageMaker-LEARNING-model-simulator-1	1628676914153	1628676914173	OK	 
USER	SageMaker	31	END	1628676914152	1628676914175
USER	SageMaker	32	START	1628676914481	1628676914481
REQUEST	32		SageMaker-LEARNING-model-simulator-1	1628676914483	1628676914507	OK	 
USER	SageMaker	32	END	1628676914481	1628676914508
USER	SageMaker	33	START	1628676914811	1628676914811
REQUEST	33		SageMaker-LEARNING-model-simulator-1	1628676914813	1628676914836	OK	 
USER	SageMaker	33	END	1628676914811	1628676914837
USER	SageMaker	34	START	1628676915152	1628676915152
REQUEST	34		SageMaker-LEARNING-model-simulator-1	1628676915153	1628676915172	OK	 
USER	SageMaker	34	END	1628676915152	1628676915173
USER	SageMaker	35	START	1628676915481	1628676915481
REQUEST	35		SageMaker-LEARNING-model-simulator-1	1628676915483	1628676915508	OK	 
USER	SageMaker	35	END	1628676915481	1628676915509
USER	SageMaker	36	START	1628676915812	1628676915812
REQUEST	36		SageMaker-LEARNING-model-simulator-1	1628676915814	1628676915828	OK	 
USER	SageMaker	36	END	1628676915812	1628676915829
USER	SageMaker	37	START	1628676916151	1628676916151
REQUEST	37		SageMaker-LEARNING-model-simulator-1	1628676916153	1628676916178	OK	 
USER	SageMaker	37	END	1628676916151	1628676916180
USER	SageMaker	38	START	1628676916481	1628676916481
REQUEST	38		SageMaker-LEARNING-model-simulator-1	1628676916482	1628676916505	OK	 
USER	SageMaker	38	END	1628676916481	1628676916506
USER	SageMaker	39	START	1628676916812	1628676916812
REQUEST	39		SageMaker-LEARNING-model-simulator-1	1628676916813	1628676916843	OK	 
USER	SageMaker	39	END	1628676916812	1628676916845
USER	SageMaker	40	START	1628676917151	1628676917151
REQUEST	40		SageMaker-LEARNING-model-simulator-1	1628676917153	1628676917181	OK	 
USER	SageMaker	40	END	1628676917151	1628676917182
USER	SageMaker	41	START	1628676917482	1628676917482
REQUEST	41		SageMaker-LEARNING-model-simulator-1	1628676917483	1628676917506	OK	 
