RUN	GenericSageMakerScenario	1628679318-ml.m5.large-1-70TPS	1628679320154	 	3.2.0
USER	SageMaker	1	START	1628679322341	1628679322341
USER	SageMaker	2	START	1628679322351	1628679322351
USER	SageMaker	3	START	1628679322371	1628679322371
USER	SageMaker	4	START	1628679322381	1628679322381
USER	SageMaker	5	START	1628679322401	1628679322401
USER	SageMaker	6	START	1628679322411	1628679322411
USER	SageMaker	7	START	1628679322431	1628679322431
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628679322413	1628679322434	OK	 
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628679322383	1628679322414	OK	 
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628679322403	1628679322424	OK	 
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628679322377	1628679322417	OK	 
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628679322380	1628679322416	OK	 
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628679322382	1628679322416	OK	 
USER	SageMaker	8	START	1628679322441	1628679322441
USER	SageMaker	4	END	1628679322381	1628679322444
USER	SageMaker	3	END	1628679322371	1628679322444
USER	SageMaker	6	END	1628679322411	1628679322444
USER	SageMaker	1	END	1628679322341	1628679322444
USER	SageMaker	2	END	1628679322351	1628679322444
USER	SageMaker	5	END	1628679322401	1628679322444
USER	SageMaker	9	START	1628679322451	1628679322451
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628679322433	1628679322468	OK	 
USER	SageMaker	7	END	1628679322431	1628679322469
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628679322444	1628679322469	OK	 
USER	SageMaker	8	END	1628679322441	1628679322470
USER	SageMaker	10	START	1628679322471	1628679322471
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628679322453	1628679322480	OK	 
USER	SageMaker	9	END	1628679322451	1628679322481
USER	SageMaker	11	START	1628679322481	1628679322481
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628679322473	1628679322494	OK	 
USER	SageMaker	10	END	1628679322471	1628679322495
USER	SageMaker	12	START	1628679322501	1628679322501
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628679322483	1628679322506	OK	 
USER	SageMaker	11	END	1628679322481	1628679322507
USER	SageMaker	13	START	1628679322511	1628679322511
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628679322503	1628679322525	OK	 
USER	SageMaker	12	END	1628679322501	1628679322526
USER	SageMaker	14	START	1628679322531	1628679322531
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628679322513	1628679322536	OK	 
USER	SageMaker	13	END	1628679322511	1628679322537
USER	SageMaker	15	START	1628679322541	1628679322541
USER	SageMaker	16	START	1628679322552	1628679322552
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628679322533	1628679322558	OK	 
USER	SageMaker	14	END	1628679322531	1628679322559
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628679322543	1628679322562	OK	 
USER	SageMaker	15	END	1628679322541	1628679322563
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628679322553	1628679322565	OK	 
USER	SageMaker	16	END	1628679322552	1628679322566
USER	SageMaker	17	START	1628679322571	1628679322571
USER	SageMaker	18	START	1628679322581	1628679322581
REQUEST	17		SageMaker-LEARNING-model-simulator-1	1628679322572	1628679322593	OK	 
USER	SageMaker	17	END	1628679322571	1628679322594
USER	SageMaker	19	START	1628679322601	1628679322601
REQUEST	18		SageMaker-LEARNING-model-simulator-1	1628679322582	1628679322603	OK	 
USER	SageMaker	18	END	1628679322581	1628679322604
USER	SageMaker	20	START	1628679322611	1628679322611
REQUEST	19		SageMaker-LEARNING-model-simulator-1	1628679322602	1628679322622	OK	 
USER	SageMaker	19	END	1628679322601	1628679322623
USER	SageMaker	21	START	1628679322631	1628679322631
