RUN	GenericSageMakerScenario	1628679131-ml.m5.large-1-60TPS	1628679133774	 	3.2.0
USER	SageMaker	33	END	1628679136593	1628679136619
USER	SageMaker	35	START	1628679136632	1628679136632
USER	SageMaker	36	START	1628679136642	1628679136642
REQUEST	34		SageMaker-LEARNING-model-simulator-1	1628679136615	1628679136643	OK	 
USER	SageMaker	34	END	1628679136613	1628679136644
REQUEST	36		SageMaker-LEARNING-model-simulator-1	1628679136644	1628679136655	OK	 
USER	SageMaker	36	END	1628679136642	1628679136656
REQUEST	35		SageMaker-LEARNING-model-simulator-1	1628679136634	1628679136657	OK	 
USER	SageMaker	35	END	1628679136632	1628679136658
USER	SageMaker	37	START	1628679136662	1628679136662
REQUEST	37		SageMaker-LEARNING-model-simulator-1	1628679136664	1628679136674	OK	 
USER	SageMaker	37	END	1628679136662	1628679136675
USER	SageMaker	38	START	1628679136683	1628679136683
USER	SageMaker	39	START	1628679136693	1628679136693
REQUEST	38		SageMaker-LEARNING-model-simulator-1	1628679136684	1628679136706	OK	 
USER	SageMaker	38	END	1628679136683	1628679136708
USER	SageMaker	40	START	1628679136713	1628679136713
REQUEST	39		SageMaker-LEARNING-model-simulator-1	1628679136694	1628679136713	OK	 
USER	SageMaker	39	END	1628679136693	1628679136714
USER	SageMaker	41	START	1628679136732	1628679136732
REQUEST	40		SageMaker-LEARNING-model-simulator-1	1628679136714	1628679136739	OK	 
USER	SageMaker	40	END	1628679136713	1628679136740
USER	SageMaker	42	START	1628679136742	1628679136742
REQUEST	41		SageMaker-LEARNING-model-simulator-1	1628679136734	1628679136744	OK	 
USER	SageMaker	41	END	1628679136732	1628679136745
USER	SageMaker	43	START	1628679136762	1628679136762
REQUEST	42		SageMaker-LEARNING-model-simulator-1	1628679136744	1628679136765	OK	 
USER	SageMaker	42	END	1628679136742	1628679136766
USER	SageMaker	44	START	1628679136783	1628679136783
REQUEST	43		SageMaker-LEARNING-model-simulator-1	1628679136764	1628679136788	OK	 
USER	SageMaker	43	END	1628679136762	1628679136789
USER	SageMaker	45	START	1628679136793	1628679136793
REQUEST	44		SageMaker-LEARNING-model-simulator-1	1628679136784	1628679136796	OK	 
USER	SageMaker	44	END	1628679136783	1628679136797
USER	SageMaker	46	START	1628679136812	1628679136812
REQUEST	45		SageMaker-LEARNING-model-simulator-1	1628679136794	1628679136818	OK	 
USER	SageMaker	45	END	1628679136793	1628679136819
REQUEST	46		SageMaker-LEARNING-model-simulator-1	1628679136813	1628679136827	OK	 
USER	SageMaker	46	END	1628679136812	1628679136827
USER	SageMaker	47	START	1628679136832	1628679136832
USER	SageMaker	48	START	1628679136842	1628679136842
REQUEST	47		SageMaker-LEARNING-model-simulator-1	1628679136834	1628679136846	OK	 
USER	SageMaker	47	END	1628679136832	1628679136847
REQUEST	48		SageMaker-LEARNING-model-simulator-1	1628679136844	1628679136855	OK	 
USER	SageMaker	48	END	1628679136842	1628679136856
USER	SageMaker	49	START	1628679136862	1628679136862
USER	SageMaker	50	START	1628679136883	1628679136883
REQUEST	49		SageMaker-LEARNING-model-simulator-1	1628679136864	1628679136889	OK	 
USER	SageMaker	49	END	1628679136862	1628679136890
USER	SageMaker	51	START	1628679136893	1628679136893
REQUEST	50		SageMaker-LEARNING-model-simulator-1	1628679136884	1628679136898	OK	 
USER	SageMaker	50	END	1628679136883	1628679136899
USER	SageMaker	52	START	1628679136913	1628679136913
REQUEST	51		SageMaker-LEARNING-model-simulator-1	1628679136894	1628679136914	OK	 
USER	SageMaker	51	END	1628679136893	1628679136915
USER	SageMaker	53	START	1628679136932	1628679136932
REQUEST	52		SageMaker-LEARNING-model-simulator-1	1628679136914	1628679136935	OK	 
USER	SageMaker	52	END	1628679136913	1628679136936
USER	SageMaker	54	START	1628679136942	1628679136942
REQUEST	53		SageMaker-LEARNING-model-simulator-1	1628679136934	1628679136954	OK	 
USER	SageMaker	53	END	1628679136932	1628679136955
USER	SageMaker	55	START	1628679136962	1628679136962
REQUEST	54		SageMaker-LEARNING-model-simulator-1	1628679136944	1628679136968	OK	 
USER	SageMaker	54	END	1628679136942	1628679136969
USER	SageMaker	56	START	1628679136983	1628679136983
REQUEST	55		SageMaker-LEARNING-model-simulator-1	1628679136964	1628679136987	OK	 
USER	SageMaker	55	END	1628679136962	1628679136988
USER	SageMaker	57	START	1628679136993	1628679136993
REQUEST	56		SageMaker-LEARNING-model-simulator-1	1628679136984	1628679137009	OK	 
USER	SageMaker	56	END	1628679136983	1628679137009
USER	SageMaker	58	START	1628679137013	1628679137013
REQUEST	57		SageMaker-LEARNING-model-simulator-1	1628679136994	1628679137022	OK	 
USER	SageMaker	57	END	1628679136993	1628679137023
USER	SageMaker	59	START	1628679137032	1628679137032
REQUEST	58		SageMaker-LEARNING-model-simulator-1	1628679137014	1628679137037	OK	 
USER	SageMaker	58	END	1628679137013	1628679137037
USER	SageMaker	60	START	1628679137042	1628679137042
REQUEST	59		SageMaker-LEARNING-model-simulator-1	1628679137033	1628679137042	OK	 
USER	SageMaker	59	END	1628679137032	1628679137043
USER	SageMaker	61	START	1628679137062	1628679137062
REQUEST	60		SageMaker-LEARNING-model-simulator-1	1628679137043	1628679137066	OK	 
USER	SageMaker	60	END	1628679137042	1628679137067
USER	SageMaker	62	START	1628679137072	1628679137072
REQUEST	61		SageMaker-LEARNING-model-simulator-1	1628679137064	1628679137085	OK	 
USER	SageMaker	61	END	1628679137062	1628679137086
REQUEST	62		SageMaker-LEARNING-model-simulator-1	1628679137074	1628679137086	OK	 
USER	SageMaker	62	END	1628679137072	1628679137087
USER	SageMaker	63	START	1628679137093	1628679137093
USER	SageMaker	64	START	1628679137103	1628679137103
REQUEST	63		SageMaker-LEARNING-model-simulator-1	1628679137094	1628679137104	OK	 
USER	SageMaker	63	END	1628679137093	1628679137104
REQUEST	64		SageMaker-LEARNING-model-simulator-1	1628679137104	1628679137117	OK	 
USER	SageMaker	64	END	1628679137103	1628679137118
USER	SageMaker	65	START	1628679137123	1628679137123
USER	SageMaker	66	START	1628679137142	1628679137142
REQUEST	65		SageMaker-LEARNING-model-simulator-1	1628679137124	1628679137143	OK	 
USER	SageMaker	65	END	1628679137123	1628679137144
REQUEST	66		SageMaker-LEARNING-model-simulator-1	1628679137143	1628679137155	OK	 
USER	SageMaker	66	END	1628679137142	1628679137156
USER	SageMaker	67	START	1628679137157	1628679137157
REQUEST	67		SageMaker-LEARNING-model-simulator-1	1628679137158	1628679137169	OK	 
USER	SageMaker	67	END	1628679137157	1628679137170
USER	SageMaker	68	START	1628679137172	1628679137172
REQUEST	68		SageMaker-LEARNING-model-simulator-1	1628679137173	1628679137185	OK	 
USER	SageMaker	68	END	1628679137172	1628679137185
USER	SageMaker	69	START	1628679137192	1628679137192
USER	SageMaker	70	START	1628679137202	1628679137202
REQUEST	69		SageMaker-LEARNING-model-simulator-1	1628679137193	1628679137218	OK	 
USER	SageMaker	69	END	1628679137192	1628679137218
