RUN	GenericSageMakerScenario	1628678572-ml.m5.large-1-30TPS	1628678574992	 	3.2.0
USER	SageMaker	1	START	1628678577250	1628678577250
USER	SageMaker	2	START	1628678577279	1628678577279
USER	SageMaker	3	START	1628678577310	1628678577310
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628678577290	1628678577320	OK	 
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628678577288	1628678577320	OK	 
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628678577312	1628678577338	OK	 
USER	SageMaker	4	START	1628678577350	1628678577350
USER	SageMaker	2	END	1628678577279	1628678577351
USER	SageMaker	1	END	1628678577250	1628678577351
USER	SageMaker	3	END	1628678577310	1628678577355
USER	SageMaker	5	START	1628678577379	1628678577379
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628678577353	1628678577381	OK	 
USER	SageMaker	4	END	1628678577350	1628678577382
USER	SageMaker	6	START	1628678577409	1628678577409
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628678577382	1628678577416	OK	 
USER	SageMaker	5	END	1628678577379	1628678577422
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628678577412	1628678577435	OK	 
USER	SageMaker	6	END	1628678577409	1628678577438
USER	SageMaker	7	START	1628678577450	1628678577450
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628678577452	1628678577464	OK	 
USER	SageMaker	7	END	1628678577450	1628678577466
USER	SageMaker	8	START	1628678577479	1628678577479
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628678577482	1628678577508	OK	 
USER	SageMaker	8	END	1628678577479	1628678577509
USER	SageMaker	9	START	1628678577510	1628678577510
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628678577512	1628678577538	OK	 
USER	SageMaker	9	END	1628678577510	1628678577539
USER	SageMaker	10	START	1628678577550	1628678577550
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628678577552	1628678577572	OK	 
USER	SageMaker	10	END	1628678577550	1628678577574
USER	SageMaker	11	START	1628678577579	1628678577579
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628678577581	1628678577602	OK	 
USER	SageMaker	11	END	1628678577579	1628678577603
USER	SageMaker	12	START	1628678577610	1628678577610
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628678577612	1628678577636	OK	 
USER	SageMaker	12	END	1628678577610	1628678577638
USER	SageMaker	13	START	1628678577650	1628678577650
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628678577652	1628678577675	OK	 
USER	SageMaker	13	END	1628678577650	1628678577677
USER	SageMaker	14	START	1628678577679	1628678577679
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628678577681	1628678577705	OK	 
USER	SageMaker	14	END	1628678577679	1628678577708
USER	SageMaker	15	START	1628678577710	1628678577710
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628678577715	1628678577736	OK	 
USER	SageMaker	15	END	1628678577710	1628678577738
USER	SageMaker	16	START	1628678577750	1628678577750
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628678577752	1628678577773	OK	 
USER	SageMaker	16	END	1628678577750	1628678577775
USER	SageMaker	17	START	1628678577779	1628678577779
REQUEST	17		SageMaker-LEARNING-model-simulator-1	1628678577781	1628678577807	OK	 
USER	SageMaker	17	END	1628678577779	1628678577809
USER	SageMaker	18	START	1628678577810	1628678577810
REQUEST	18		SageMaker-LEARNING-model-simulator-1	1628678577812	1628678577839	OK	 
USER	SageMaker	18	END	1628678577810	1628678577841
USER	SageMaker	19	START	1628678577856	1628678577856
REQUEST	19		SageMaker-LEARNING-model-simulator-1	1628678577860	1628678577886	OK	 
USER	SageMaker	19	END	1628678577856	1628678577888
USER	SageMaker	20	START	1628678577890	1628678577890
USER	SageMaker	21	START	1628678577920	1628678577920
REQUEST	20		SageMaker-LEARNING-model-simulator-1	1628678577892	1628678577924	OK	 
USER	SageMaker	20	END	1628678577890	1628678577926
REQUEST	21		SageMaker-LEARNING-model-simulator-1	1628678577922	1628678577935	OK	 
USER	SageMaker	21	END	1628678577920	1628678577936
USER	SageMaker	22	START	1628678577960	1628678577960
REQUEST	22		SageMaker-LEARNING-model-simulator-1	1628678577962	1628678577985	OK	 
USER	SageMaker	22	END	1628678577960	1628678577987
USER	SageMaker	23	START	1628678577989	1628678577989
REQUEST	23		SageMaker-LEARNING-model-simulator-1	1628678577991	1628678578014	OK	 
USER	SageMaker	23	END	1628678577989	1628678578015
USER	SageMaker	24	START	1628678578020	1628678578020
REQUEST	24		SageMaker-LEARNING-model-simulator-1	1628678578022	1628678578047	OK	 
USER	SageMaker	24	END	1628678578020	1628678578048
USER	SageMaker	25	START	1628678578060	1628678578060
REQUEST	25		SageMaker-LEARNING-model-simulator-1	1628678578062	1628678578086	OK	 
USER	SageMaker	25	END	1628678578060	1628678578087
USER	SageMaker	26	START	1628678578089	1628678578089
REQUEST	26		SageMaker-LEARNING-model-simulator-1	1628678578091	1628678578103	OK	 
USER	SageMaker	26	END	1628678578089	1628678578104
USER	SageMaker	27	START	1628678578119	1628678578119
REQUEST	27		SageMaker-LEARNING-model-simulator-1	1628678578121	1628678578147	OK	 
USER	SageMaker	27	END	1628678578119	1628678578149
USER	SageMaker	28	START	1628678578160	1628678578160
