RUN	GenericSageMakerScenario	1628677085-ml.m5.large-1-4TPS	1628677087222	 	3.2.0
USER	SageMaker	1	START	1628677089364	1628677089364
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628677089401	1628677089437	OK	 
USER	SageMaker	1	END	1628677089364	1628677089463
USER	SageMaker	2	START	1628677089623	1628677089623
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628677089626	1628677089654	OK	 
USER	SageMaker	2	END	1628677089623	1628677089656
USER	SageMaker	3	START	1628677089873	1628677089873
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628677089876	1628677089904	OK	 
USER	SageMaker	3	END	1628677089873	1628677089905
USER	SageMaker	4	START	1628677090123	1628677090123
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628677090126	1628677090158	OK	 
USER	SageMaker	4	END	1628677090123	1628677090160
USER	SageMaker	5	START	1628677090374	1628677090374
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628677090376	1628677090402	OK	 
USER	SageMaker	5	END	1628677090374	1628677090404
USER	SageMaker	6	START	1628677090623	1628677090623
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628677090626	1628677090649	OK	 
USER	SageMaker	6	END	1628677090623	1628677090650
USER	SageMaker	7	START	1628677090874	1628677090874
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628677090876	1628677090901	OK	 
USER	SageMaker	7	END	1628677090874	1628677090903
USER	SageMaker	8	START	1628677091124	1628677091124
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628677091127	1628677091149	OK	 
USER	SageMaker	8	END	1628677091124	1628677091150
USER	SageMaker	9	START	1628677091374	1628677091374
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628677091376	1628677091401	OK	 
USER	SageMaker	9	END	1628677091374	1628677091403
USER	SageMaker	10	START	1628677091624	1628677091624
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628677091626	1628677091652	OK	 
USER	SageMaker	10	END	1628677091624	1628677091654
USER	SageMaker	11	START	1628677091874	1628677091874
