RUN	GenericSageMakerScenario	1628679504-ml.m5.large-1-80TPS	1628679506571	 	3.2.0
USER	SageMaker	1	START	1628679508810	1628679508810
USER	SageMaker	2	START	1628679508819	1628679508819
USER	SageMaker	3	START	1628679508839	1628679508839
USER	SageMaker	4	START	1628679508849	1628679508849
USER	SageMaker	5	START	1628679508859	1628679508859
USER	SageMaker	6	START	1628679508870	1628679508870
USER	SageMaker	7	START	1628679508890	1628679508890
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628679508871	1628679508893	OK	 
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628679508844	1628679508881	OK	 
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628679508861	1628679508888	OK	 
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628679508849	1628679508881	OK	 
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628679508852	1628679508887	OK	 
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628679508847	1628679508881	OK	 
USER	SageMaker	8	START	1628679508900	1628679508900
USER	SageMaker	4	END	1628679508849	1628679508904
USER	SageMaker	3	END	1628679508839	1628679508904
USER	SageMaker	2	END	1628679508819	1628679508904
USER	SageMaker	5	END	1628679508859	1628679508904
USER	SageMaker	6	END	1628679508870	1628679508904
USER	SageMaker	1	END	1628679508810	1628679508904
USER	SageMaker	9	START	1628679508910	1628679508910
USER	SageMaker	10	START	1628679508919	1628679508919
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628679508911	1628679508921	OK	 
USER	SageMaker	9	END	1628679508910	1628679508922
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628679508891	1628679508926	OK	 
USER	SageMaker	7	END	1628679508890	1628679508926
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628679508901	1628679508927	OK	 
USER	SageMaker	8	END	1628679508900	1628679508928
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628679508920	1628679508937	OK	 
USER	SageMaker	10	END	1628679508919	1628679508938
USER	SageMaker	11	START	1628679508939	1628679508939
USER	SageMaker	12	START	1628679508949	1628679508949
USER	SageMaker	13	START	1628679508959	1628679508959
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628679508941	1628679508964	OK	 
USER	SageMaker	11	END	1628679508939	1628679508966
USER	SageMaker	14	START	1628679508970	1628679508970
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628679508951	1628679508977	OK	 
USER	SageMaker	12	END	1628679508949	1628679508978
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628679508961	1628679508985	OK	 
USER	SageMaker	13	END	1628679508959	1628679508986
USER	SageMaker	15	START	1628679508990	1628679508990
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628679508971	1628679508991	OK	 
USER	SageMaker	14	END	1628679508970	1628679508992
USER	SageMaker	16	START	1628679509000	1628679509000
USER	SageMaker	17	START	1628679509009	1628679509009
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628679508991	1628679509011	OK	 
USER	SageMaker	15	END	1628679508990	1628679509012
USER	SageMaker	18	START	1628679509019	1628679509019
REQUEST	17		SageMaker-LEARNING-model-simulator-1	1628679509010	1628679509020	OK	 
USER	SageMaker	17	END	1628679509009	1628679509021
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628679509001	1628679509023	OK	 
USER	SageMaker	16	END	1628679509000	1628679509024
USER	SageMaker	19	START	1628679509039	1628679509039
REQUEST	18		SageMaker-LEARNING-model-simulator-1	1628679509021	1628679509041	OK	 
USER	SageMaker	18	END	1628679509019	1628679509042
USER	SageMaker	20	START	1628679509049	1628679509049
USER	SageMaker	21	START	1628679509060	1628679509060
REQUEST	19		SageMaker-LEARNING-model-simulator-1	1628679509041	1628679509061	OK	 
USER	SageMaker	19	END	1628679509039	1628679509062
USER	SageMaker	22	START	1628679509070	1628679509070
REQUEST	21		SageMaker-LEARNING-model-simulator-1	1628679509061	1628679509071	OK	 
USER	SageMaker	21	END	1628679509060	1628679509072
REQUEST	20		SageMaker-LEARNING-model-simulator-1	1628679509051	1628679509072	OK	 
USER	SageMaker	20	END	1628679509049	1628679509073
USER	SageMaker	23	START	1628679509090	1628679509090
REQUEST	22		SageMaker-LEARNING-model-simulator-1	1628679509071	1628679509098	OK	 
USER	SageMaker	22	END	1628679509070	1628679509099
USER	SageMaker	24	START	1628679509099	1628679509099
REQUEST	23		SageMaker-LEARNING-model-simulator-1	1628679509092	1628679509106	OK	 
USER	SageMaker	23	END	1628679509090	1628679509107
USER	SageMaker	25	START	1628679509109	1628679509109
USER	SageMaker	26	START	1628679509119	1628679509119
REQUEST	25		SageMaker-LEARNING-model-simulator-1	1628679509111	1628679509120	OK	 
USER	SageMaker	25	END	1628679509109	1628679509122
REQUEST	24		SageMaker-LEARNING-model-simulator-1	1628679509100	1628679509124	OK	 
USER	SageMaker	24	END	1628679509099	1628679509125
USER	SageMaker	27	START	1628679509139	1628679509139
REQUEST	26		SageMaker-LEARNING-model-simulator-1	1628679509121	1628679509144	OK	 
USER	SageMaker	26	END	1628679509119	1628679509145
USER	SageMaker	28	START	1628679509150	1628679509150
REQUEST	27		SageMaker-LEARNING-model-simulator-1	1628679509141	1628679509151	OK	 
USER	SageMaker	27	END	1628679509139	1628679509152
USER	SageMaker	29	START	1628679509160	1628679509160
USER	SageMaker	30	START	1628679509170	1628679509170
REQUEST	29		SageMaker-LEARNING-model-simulator-1	1628679509161	1628679509171	OK	 
USER	SageMaker	29	END	1628679509160	1628679509172
REQUEST	28		SageMaker-LEARNING-model-simulator-1	1628679509151	1628679509172	OK	 
USER	SageMaker	28	END	1628679509150	1628679509173
REQUEST	30		SageMaker-LEARNING-model-simulator-1	1628679509171	1628679509183	OK	 
USER	SageMaker	30	END	1628679509170	1628679509184
USER	SageMaker	31	START	1628679509189	1628679509189
USER	SageMaker	32	START	1628679509199	1628679509199
USER	SageMaker	33	START	1628679509209	1628679509209
REQUEST	31		SageMaker-LEARNING-model-simulator-1	1628679509190	1628679509216	OK	 
USER	SageMaker	31	END	1628679509189	1628679509217
USER	SageMaker	34	START	1628679509219	1628679509219
REQUEST	33		SageMaker-LEARNING-model-simulator-1	1628679509211	1628679509220	OK	 
USER	SageMaker	33	END	1628679509209	1628679509221
REQUEST	32		SageMaker-LEARNING-model-simulator-1	1628679509201	1628679509223	OK	 
USER	SageMaker	32	END	1628679509199	1628679509224
REQUEST	34		SageMaker-LEARNING-model-simulator-1	1628679509221	1628679509234	OK	 
USER	SageMaker	34	END	1628679509219	1628679509235
USER	SageMaker	35	START	1628679509240	1628679509240
USER	SageMaker	36	START	1628679509250	1628679509250
USER	SageMaker	37	START	1628679509260	1628679509260
REQUEST	35		SageMaker-LEARNING-model-simulator-1	1628679509241	1628679509266	OK	 
USER	SageMaker	35	END	1628679509240	1628679509267
USER	SageMaker	38	START	1628679509269	1628679509269
REQUEST	36		SageMaker-LEARNING-model-simulator-1	1628679509251	1628679509276	OK	 
USER	SageMaker	36	END	1628679509250	1628679509277
REQUEST	37		SageMaker-LEARNING-model-simulator-1	1628679509261	1628679509281	OK	 
USER	SageMaker	37	END	1628679509260	1628679509281
REQUEST	38		SageMaker-LEARNING-model-simulator-1	1628679509270	1628679509283	OK	 
USER	SageMaker	38	END	1628679509269	1628679509284
USER	SageMaker	39	START	1628679509289	1628679509289
USER	SageMaker	40	START	1628679509299	1628679509299
REQUEST	39		SageMaker-LEARNING-model-simulator-1	1628679509290	1628679509301	OK	 
USER	SageMaker	39	END	1628679509289	1628679509302
USER	SageMaker	41	START	1628679509309	1628679509309
USER	SageMaker	42	START	1628679509319	1628679509319
REQUEST	40		SageMaker-LEARNING-model-simulator-1	1628679509300	1628679509320	OK	 
USER	SageMaker	40	END	1628679509299	1628679509321
REQUEST	41		SageMaker-LEARNING-model-simulator-1	1628679509311	1628679509333	OK	 
USER	SageMaker	41	END	1628679509309	1628679509334
REQUEST	42		SageMaker-LEARNING-model-simulator-1	1628679509321	1628679509334	OK	 
USER	SageMaker	42	END	1628679509319	1628679509335
USER	SageMaker	43	START	1628679509340	1628679509340
USER	SageMaker	44	START	1628679509350	1628679509350
USER	SageMaker	45	START	1628679509360	1628679509360
REQUEST	43		SageMaker-LEARNING-model-simulator-1	1628679509341	1628679509366	OK	 
USER	SageMaker	43	END	1628679509340	1628679509367
USER	SageMaker	46	START	1628679509369	1628679509369
REQUEST	44		SageMaker-LEARNING-model-simulator-1	1628679509351	1628679509372	OK	 
USER	SageMaker	44	END	1628679509350	1628679509373
REQUEST	45		SageMaker-LEARNING-model-simulator-1	1628679509361	1628679509381	OK	 
USER	SageMaker	45	END	1628679509360	1628679509382
REQUEST	46		SageMaker-LEARNING-model-simulator-1	1628679509370	1628679509389	OK	 
USER	SageMaker	47	START	1628679509389	1628679509389
USER	SageMaker	46	END	1628679509369	1628679509389
USER	SageMaker	48	START	1628679509399	1628679509399
USER	SageMaker	49	START	1628679509409	1628679509409
REQUEST	48		SageMaker-LEARNING-model-simulator-1	1628679509400	1628679509410	OK	 
USER	SageMaker	48	END	1628679509399	1628679509411
REQUEST	47		SageMaker-LEARNING-model-simulator-1	1628679509390	1628679509414	OK	 
USER	SageMaker	47	END	1628679509389	1628679509415
USER	SageMaker	50	START	1628679509419	1628679509419
REQUEST	49		SageMaker-LEARNING-model-simulator-1	1628679509410	1628679509419	OK	 
USER	SageMaker	49	END	1628679509409	1628679509420
REQUEST	50		SageMaker-LEARNING-model-simulator-1	1628679509420	1628679509436	OK	 
USER	SageMaker	50	END	1628679509419	1628679509437
USER	SageMaker	51	START	1628679509440	1628679509440
USER	SageMaker	52	START	1628679509450	1628679509450
REQUEST	51		SageMaker-LEARNING-model-simulator-1	1628679509440	1628679509451	OK	 
USER	SageMaker	51	END	1628679509440	1628679509452
USER	SageMaker	53	START	1628679509460	1628679509460
REQUEST	52		SageMaker-LEARNING-model-simulator-1	1628679509451	1628679509461	OK	 
USER	SageMaker	52	END	1628679509450	1628679509462
USER	SageMaker	54	START	1628679509470	1628679509470
REQUEST	53		SageMaker-LEARNING-model-simulator-1	1628679509461	1628679509473	OK	 
USER	SageMaker	53	END	1628679509460	1628679509474
USER	SageMaker	55	START	1628679509489	1628679509489
REQUEST	54		SageMaker-LEARNING-model-simulator-1	1628679509471	1628679509491	OK	 
USER	SageMaker	54	END	1628679509470	1628679509492
USER	SageMaker	56	START	1628679509499	1628679509499
REQUEST	55		SageMaker-LEARNING-model-simulator-1	1628679509490	1628679509500	OK	 
USER	SageMaker	55	END	1628679509489	1628679509501
USER	SageMaker	57	START	1628679509509	1628679509509
USER	SageMaker	58	START	1628679509519	1628679509519
REQUEST	56		SageMaker-LEARNING-model-simulator-1	1628679509500	1628679509520	OK	 
REQUEST	57		SageMaker-LEARNING-model-simulator-1	1628679509510	1628679509520	OK	 
USER	SageMaker	56	END	1628679509499	1628679509524
USER	SageMaker	57	END	1628679509509	1628679509525
USER	SageMaker	59	START	1628679509540	1628679509540
REQUEST	58		SageMaker-LEARNING-model-simulator-1	1628679509520	1628679509545	OK	 
USER	SageMaker	58	END	1628679509519	1628679509546
USER	SageMaker	60	START	1628679509550	1628679509550
REQUEST	59		SageMaker-LEARNING-model-simulator-1	1628679509541	1628679509553	OK	 
USER	SageMaker	59	END	1628679509540	1628679509554
USER	SageMaker	61	START	1628679509560	1628679509560
USER	SageMaker	62	START	1628679509569	1628679509569
REQUEST	60		SageMaker-LEARNING-model-simulator-1	1628679509551	1628679509569	OK	 
USER	SageMaker	60	END	1628679509550	1628679509570
REQUEST	61		SageMaker-LEARNING-model-simulator-1	1628679509561	1628679509575	OK	 
USER	SageMaker	61	END	1628679509560	1628679509575
REQUEST	62		SageMaker-LEARNING-model-simulator-1	1628679509571	1628679509580	OK	 
USER	SageMaker	62	END	1628679509569	1628679509581
USER	SageMaker	63	START	1628679509589	1628679509589
USER	SageMaker	64	START	1628679509599	1628679509599
REQUEST	63		SageMaker-LEARNING-model-simulator-1	1628679509591	1628679509602	OK	 
USER	SageMaker	63	END	1628679509589	1628679509603
USER	SageMaker	65	START	1628679509609	1628679509609
USER	SageMaker	66	START	1628679509620	1628679509620
REQUEST	64		SageMaker-LEARNING-model-simulator-1	1628679509601	1628679509621	OK	 
USER	SageMaker	64	END	1628679509599	1628679509622
REQUEST	65		SageMaker-LEARNING-model-simulator-1	1628679509611	1628679509632	OK	 
USER	SageMaker	65	END	1628679509609	1628679509632
USER	SageMaker	67	START	1628679509640	1628679509640
REQUEST	66		SageMaker-LEARNING-model-simulator-1	1628679509621	1628679509642	OK	 
USER	SageMaker	66	END	1628679509620	1628679509643
REQUEST	67		SageMaker-LEARNING-model-simulator-1	1628679509641	1628679509649	OK	 
USER	SageMaker	67	END	1628679509640	1628679509650
USER	SageMaker	68	START	1628679509650	1628679509650
USER	SageMaker	69	START	1628679509659	1628679509659
USER	SageMaker	70	START	1628679509669	1628679509669
REQUEST	69		SageMaker-LEARNING-model-simulator-1	1628679509660	1628679509674	OK	 
REQUEST	68		SageMaker-LEARNING-model-simulator-1	1628679509651	1628679509675	OK	 
USER	SageMaker	69	END	1628679509659	1628679509675
USER	SageMaker	68	END	1628679509650	1628679509675
USER	SageMaker	71	START	1628679509689	1628679509689
REQUEST	70		SageMaker-LEARNING-model-simulator-1	1628679509670	1628679509691	OK	 
USER	SageMaker	70	END	1628679509669	1628679509692
USER	SageMaker	72	START	1628679509699	1628679509699
REQUEST	71		SageMaker-LEARNING-model-simulator-1	1628679509691	1628679509702	OK	 
USER	SageMaker	71	END	1628679509689	1628679509702
USER	SageMaker	73	START	1628679509709	1628679509709
REQUEST	72		SageMaker-LEARNING-model-simulator-1	1628679509701	1628679509713	OK	 
USER	SageMaker	72	END	1628679509699	1628679509714
USER	SageMaker	74	START	1628679509720	1628679509720
REQUEST	73		SageMaker-LEARNING-model-simulator-1	1628679509711	1628679509730	OK	 
USER	SageMaker	73	END	1628679509709	1628679509730
REQUEST	74		SageMaker-LEARNING-model-simulator-1	1628679509721	1628679509731	OK	 
USER	SageMaker	74	END	1628679509720	1628679509732
USER	SageMaker	75	START	1628679509740	1628679509740
USER	SageMaker	76	START	1628679509750	1628679509750
USER	SageMaker	77	START	1628679509759	1628679509759
REQUEST	75		SageMaker-LEARNING-model-simulator-1	1628679509741	1628679509762	OK	 
USER	SageMaker	75	END	1628679509740	1628679509763
USER	SageMaker	78	START	1628679509769	1628679509769
REQUEST	77		SageMaker-LEARNING-model-simulator-1	1628679509760	1628679509770	OK	 
USER	SageMaker	77	END	1628679509759	1628679509771
REQUEST	76		SageMaker-LEARNING-model-simulator-1	1628679509751	1628679509771	OK	 
USER	SageMaker	76	END	1628679509750	1628679509772
REQUEST	78		SageMaker-LEARNING-model-simulator-1	1628679509770	1628679509779	OK	 
USER	SageMaker	78	END	1628679509769	1628679509780
USER	SageMaker	79	START	1628679509789	1628679509789
USER	SageMaker	80	START	1628679509799	1628679509799
