RUN	GenericSageMakerScenario	1628676714-ml.m5.large-1-2TPS	1628676716366	 	3.2.0
USER	SageMaker	1	START	1628676718560	1628676718560
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628676718590	1628676718625	OK	 
USER	SageMaker	1	END	1628676718560	1628676718652
USER	SageMaker	2	START	1628676719059	1628676719059
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628676719062	1628676719093	OK	 
USER	SageMaker	2	END	1628676719059	1628676719095
USER	SageMaker	3	START	1628676719569	1628676719569
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628676719572	1628676719614	OK	 
USER	SageMaker	3	END	1628676719569	1628676719615
USER	SageMaker	4	START	1628676720059	1628676720059
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628676720062	1628676720094	OK	 
USER	SageMaker	4	END	1628676720059	1628676720095
USER	SageMaker	5	START	1628676720559	1628676720559
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628676720562	1628676720591	OK	 
USER	SageMaker	5	END	1628676720559	1628676720592
USER	SageMaker	6	START	1628676721059	1628676721059
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628676721062	1628676721077	OK	 
USER	SageMaker	6	END	1628676721059	1628676721079
USER	SageMaker	7	START	1628676721559	1628676721559
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628676721562	1628676721605	OK	 
USER	SageMaker	7	END	1628676721559	1628676721607
USER	SageMaker	8	START	1628676722059	1628676722059
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628676722062	1628676722099	OK	 
USER	SageMaker	8	END	1628676722059	1628676722101
USER	SageMaker	9	START	1628676722559	1628676722559
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628676722561	1628676722586	OK	 
USER	SageMaker	9	END	1628676722559	1628676722587
USER	SageMaker	10	START	1628676723060	1628676723060
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628676723062	1628676723088	OK	 
USER	SageMaker	10	END	1628676723060	1628676723089
USER	SageMaker	11	START	1628676723560	1628676723560
