RUN	GenericSageMakerScenario	1628678759-ml.m5.large-1-40TPS	1628678761089	 	3.2.0
USER	SageMaker	1	START	1628678763361	1628678763361
USER	SageMaker	2	START	1628678763391	1628678763391
USER	SageMaker	3	START	1628678763412	1628678763412
USER	SageMaker	4	START	1628678763442	1628678763442
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628678763398	1628678763430	OK	 
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628678763413	1628678763435	OK	 
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628678763401	1628678763431	OK	 
USER	SageMaker	2	END	1628678763391	1628678763454
USER	SageMaker	1	END	1628678763361	1628678763454
USER	SageMaker	3	END	1628678763412	1628678763454
USER	SageMaker	5	START	1628678763461	1628678763461
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628678763444	1628678763465	OK	 
USER	SageMaker	4	END	1628678763442	1628678763466
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628678763463	1628678763474	OK	 
USER	SageMaker	5	END	1628678763461	1628678763475
USER	SageMaker	6	START	1628678763491	1628678763491
USER	SageMaker	7	START	1628678763512	1628678763512
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628678763494	1628678763520	OK	 
USER	SageMaker	6	END	1628678763491	1628678763521
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628678763514	1628678763539	OK	 
USER	SageMaker	7	END	1628678763512	1628678763540
USER	SageMaker	8	START	1628678763542	1628678763542
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628678763544	1628678763567	OK	 
USER	SageMaker	8	END	1628678763542	1628678763569
USER	SageMaker	9	START	1628678763571	1628678763571
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628678763573	1628678763594	OK	 
USER	SageMaker	9	END	1628678763571	1628678763595
USER	SageMaker	10	START	1628678763601	1628678763601
USER	SageMaker	11	START	1628678763621	1628678763621
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628678763603	1628678763627	OK	 
USER	SageMaker	10	END	1628678763601	1628678763629
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628678763623	1628678763647	OK	 
USER	SageMaker	11	END	1628678763621	1628678763648
USER	SageMaker	12	START	1628678763652	1628678763652
USER	SageMaker	13	START	1628678763672	1628678763672
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628678763654	1628678763674	OK	 
USER	SageMaker	12	END	1628678763652	1628678763675
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628678763674	1628678763695	OK	 
USER	SageMaker	13	END	1628678763672	1628678763696
USER	SageMaker	14	START	1628678763701	1628678763701
USER	SageMaker	15	START	1628678763721	1628678763721
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628678763704	1628678763725	OK	 
USER	SageMaker	14	END	1628678763701	1628678763726
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628678763729	1628678763750	OK	 
USER	SageMaker	15	END	1628678763721	1628678763751
USER	SageMaker	16	START	1628678763752	1628678763752
USER	SageMaker	17	START	1628678763772	1628678763772
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628678763754	1628678763774	OK	 
USER	SageMaker	16	END	1628678763752	1628678763775
REQUEST	17		SageMaker-LEARNING-model-simulator-1	1628678763774	1628678763797	OK	 
USER	SageMaker	17	END	1628678763772	1628678763798
USER	SageMaker	18	START	1628678763801	1628678763801
USER	SageMaker	19	START	1628678763821	1628678763821
REQUEST	18		SageMaker-LEARNING-model-simulator-1	1628678763803	1628678763827	OK	 
USER	SageMaker	18	END	1628678763801	1628678763828
REQUEST	19		SageMaker-LEARNING-model-simulator-1	1628678763823	1628678763848	OK	 
USER	SageMaker	19	END	1628678763821	1628678763849
USER	SageMaker	20	START	1628678763852	1628678763852
USER	SageMaker	21	START	1628678763872	1628678763872
REQUEST	20		SageMaker-LEARNING-model-simulator-1	1628678763854	1628678763879	OK	 
USER	SageMaker	20	END	1628678763852	1628678763880
REQUEST	21		SageMaker-LEARNING-model-simulator-1	1628678763874	1628678763886	OK	 
USER	SageMaker	21	END	1628678763872	1628678763887
USER	SageMaker	22	START	1628678763901	1628678763901
REQUEST	22		SageMaker-LEARNING-model-simulator-1	1628678763903	1628678763915	OK	 
USER	SageMaker	22	END	1628678763901	1628678763916
USER	SageMaker	23	START	1628678763921	1628678763921
REQUEST	23		SageMaker-LEARNING-model-simulator-1	1628678763923	1628678763947	OK	 
USER	SageMaker	23	END	1628678763921	1628678763949
USER	SageMaker	24	START	1628678763952	1628678763952
USER	SageMaker	25	START	1628678763972	1628678763972
REQUEST	24		SageMaker-LEARNING-model-simulator-1	1628678763953	1628678763978	OK	 
USER	SageMaker	24	END	1628678763952	1628678763979
REQUEST	25		SageMaker-LEARNING-model-simulator-1	1628678763974	1628678763985	OK	 
USER	SageMaker	25	END	1628678763972	1628678763986
USER	SageMaker	26	START	1628678764001	1628678764001
USER	SageMaker	27	START	1628678764021	1628678764021
REQUEST	26		SageMaker-LEARNING-model-simulator-1	1628678764003	1628678764022	OK	 
USER	SageMaker	26	END	1628678764001	1628678764023
REQUEST	27		SageMaker-LEARNING-model-simulator-1	1628678764023	1628678764045	OK	 
USER	SageMaker	27	END	1628678764021	1628678764046
USER	SageMaker	28	START	1628678764051	1628678764051
USER	SageMaker	29	START	1628678764072	1628678764072
REQUEST	28		SageMaker-LEARNING-model-simulator-1	1628678764053	1628678764077	OK	 
USER	SageMaker	28	END	1628678764051	1628678764079
REQUEST	29		SageMaker-LEARNING-model-simulator-1	1628678764073	1628678764099	OK	 
USER	SageMaker	29	END	1628678764072	1628678764101
USER	SageMaker	30	START	1628678764102	1628678764102
USER	SageMaker	31	START	1628678764121	1628678764121
REQUEST	30		SageMaker-LEARNING-model-simulator-1	1628678764104	1628678764124	OK	 
USER	SageMaker	30	END	1628678764102	1628678764125
REQUEST	31		SageMaker-LEARNING-model-simulator-1	1628678764122	1628678764142	OK	 
USER	SageMaker	31	END	1628678764121	1628678764143
USER	SageMaker	32	START	1628678764151	1628678764151
REQUEST	32		SageMaker-LEARNING-model-simulator-1	1628678764153	1628678764166	OK	 
USER	SageMaker	32	END	1628678764151	1628678764167
USER	SageMaker	33	START	1628678764172	1628678764172
REQUEST	33		SageMaker-LEARNING-model-simulator-1	1628678764173	1628678764184	OK	 
USER	SageMaker	33	END	1628678764172	1628678764185
USER	SageMaker	34	START	1628678764202	1628678764202
USER	SageMaker	35	START	1628678764221	1628678764221
REQUEST	34		SageMaker-LEARNING-model-simulator-1	1628678764204	1628678764224	OK	 
USER	SageMaker	34	END	1628678764202	1628678764225
REQUEST	35		SageMaker-LEARNING-model-simulator-1	1628678764223	1628678764248	OK	 
USER	SageMaker	35	END	1628678764221	1628678764249
USER	SageMaker	36	START	1628678764251	1628678764251
USER	SageMaker	37	START	1628678764271	1628678764271
REQUEST	36		SageMaker-LEARNING-model-simulator-1	1628678764253	1628678764273	OK	 
USER	SageMaker	36	END	1628678764251	1628678764274
REQUEST	37		SageMaker-LEARNING-model-simulator-1	1628678764273	1628678764285	OK	 
USER	SageMaker	37	END	1628678764271	1628678764286
USER	SageMaker	38	START	1628678764302	1628678764302
REQUEST	38		SageMaker-LEARNING-model-simulator-1	1628678764303	1628678764316	OK	 
USER	SageMaker	38	END	1628678764302	1628678764317
USER	SageMaker	39	START	1628678764322	1628678764322
REQUEST	39		SageMaker-LEARNING-model-simulator-1	1628678764323	1628678764348	OK	 
USER	SageMaker	39	END	1628678764322	1628678764349
USER	SageMaker	40	START	1628678764351	1628678764351
REQUEST	40		SageMaker-LEARNING-model-simulator-1	1628678764353	1628678764365	OK	 
USER	SageMaker	40	END	1628678764351	1628678764366
USER	SageMaker	41	START	1628678764371	1628678764371
REQUEST	41		SageMaker-LEARNING-model-simulator-1	1628678764373	1628678764396	OK	 
USER	SageMaker	41	END	1628678764371	1628678764397
USER	SageMaker	42	START	1628678764402	1628678764402
REQUEST	42		SageMaker-LEARNING-model-simulator-1	1628678764403	1628678764417	OK	 
USER	SageMaker	42	END	1628678764402	1628678764418
USER	SageMaker	43	START	1628678764422	1628678764422
REQUEST	43		SageMaker-LEARNING-model-simulator-1	1628678764424	1628678764448	OK	 
USER	SageMaker	43	END	1628678764422	1628678764449
USER	SageMaker	44	START	1628678764451	1628678764451
USER	SageMaker	45	START	1628678764471	1628678764471
REQUEST	44		SageMaker-LEARNING-model-simulator-1	1628678764453	1628678764473	OK	 
USER	SageMaker	44	END	1628678764451	1628678764474
REQUEST	45		SageMaker-LEARNING-model-simulator-1	1628678764473	1628678764483	OK	 
USER	SageMaker	45	END	1628678764471	1628678764487
USER	SageMaker	46	START	1628678764502	1628678764502
USER	SageMaker	47	START	1628678764521	1628678764521
