RUN	GenericSageMakerScenario	1628678200-ml.m5.large-1-10TPS	1628678202572	 	3.2.0
USER	SageMaker	1	START	1628678204768	1628678204768
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628678204804	1628678204838	OK	 
USER	SageMaker	1	END	1628678204768	1628678204864
USER	SageMaker	2	START	1628678204868	1628678204868
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628678204870	1628678204901	OK	 
USER	SageMaker	2	END	1628678204868	1628678204902
USER	SageMaker	3	START	1628678204968	1628678204968
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628678204970	1628678204997	OK	 
USER	SageMaker	3	END	1628678204968	1628678204998
USER	SageMaker	4	START	1628678205068	1628678205068
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628678205071	1628678205097	OK	 
USER	SageMaker	4	END	1628678205068	1628678205099
USER	SageMaker	5	START	1628678205169	1628678205169
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628678205171	1628678205194	OK	 
USER	SageMaker	5	END	1628678205169	1628678205196
USER	SageMaker	6	START	1628678205278	1628678205278
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628678205281	1628678205308	OK	 
USER	SageMaker	6	END	1628678205278	1628678205310
USER	SageMaker	7	START	1628678205378	1628678205378
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628678205381	1628678205405	OK	 
USER	SageMaker	7	END	1628678205378	1628678205406
USER	SageMaker	8	START	1628678205478	1628678205478
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628678205481	1628678205506	OK	 
USER	SageMaker	8	END	1628678205478	1628678205507
USER	SageMaker	9	START	1628678205578	1628678205578
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628678205580	1628678205603	OK	 
USER	SageMaker	9	END	1628678205578	1628678205604
USER	SageMaker	10	START	1628678205678	1628678205678
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628678205680	1628678205705	OK	 
USER	SageMaker	10	END	1628678205678	1628678205707
USER	SageMaker	11	START	1628678205778	1628678205778
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628678205780	1628678205805	OK	 
USER	SageMaker	11	END	1628678205778	1628678205806
USER	SageMaker	12	START	1628678205868	1628678205868
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628678205870	1628678205882	OK	 
USER	SageMaker	12	END	1628678205868	1628678205884
USER	SageMaker	13	START	1628678205968	1628678205968
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628678205970	1628678205991	OK	 
USER	SageMaker	13	END	1628678205968	1628678205992
USER	SageMaker	14	START	1628678206068	1628678206068
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628678206070	1628678206092	OK	 
USER	SageMaker	14	END	1628678206068	1628678206093
USER	SageMaker	15	START	1628678206168	1628678206168
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628678206170	1628678206193	OK	 
USER	SageMaker	15	END	1628678206168	1628678206194
USER	SageMaker	16	START	1628678206268	1628678206268
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628678206271	1628678206293	OK	 
USER	SageMaker	16	END	1628678206268	1628678206295
USER	SageMaker	17	START	1628678206368	1628678206368
REQUEST	17		SageMaker-LEARNING-model-simulator-1	1628678206370	1628678206393	OK	 
USER	SageMaker	17	END	1628678206368	1628678206394
USER	SageMaker	18	START	1628678206468	1628678206468
REQUEST	18		SageMaker-LEARNING-model-simulator-1	1628678206470	1628678206493	OK	 
USER	SageMaker	18	END	1628678206468	1628678206494
USER	SageMaker	19	START	1628678206568	1628678206568
REQUEST	19		SageMaker-LEARNING-model-simulator-1	1628678206570	1628678206583	OK	 
USER	SageMaker	19	END	1628678206568	1628678206584
USER	SageMaker	20	START	1628678206668	1628678206668
REQUEST	20		SageMaker-LEARNING-model-simulator-1	1628678206670	1628678206691	OK	 
USER	SageMaker	20	END	1628678206668	1628678206692
USER	SageMaker	21	START	1628678206769	1628678206769
REQUEST	21		SageMaker-LEARNING-model-simulator-1	1628678206770	1628678206792	OK	 
USER	SageMaker	21	END	1628678206769	1628678206793
USER	SageMaker	22	START	1628678206868	1628678206868
REQUEST	22		SageMaker-LEARNING-model-simulator-1	1628678206870	1628678206894	OK	 
USER	SageMaker	22	END	1628678206868	1628678206895
USER	SageMaker	23	START	1628678206968	1628678206968
REQUEST	23		SageMaker-LEARNING-model-simulator-1	1628678206970	1628678206995	OK	 
USER	SageMaker	23	END	1628678206968	1628678206996
USER	SageMaker	24	START	1628678207068	1628678207068
REQUEST	24		SageMaker-LEARNING-model-simulator-1	1628678207070	1628678207085	OK	 
USER	SageMaker	24	END	1628678207068	1628678207086
USER	SageMaker	25	START	1628678207168	1628678207168
REQUEST	25		SageMaker-LEARNING-model-simulator-1	1628678207170	1628678207196	OK	 
USER	SageMaker	25	END	1628678207168	1628678207197
USER	SageMaker	26	START	1628678207268	1628678207268
REQUEST	26		SageMaker-LEARNING-model-simulator-1	1628678207270	1628678207293	OK	 
USER	SageMaker	26	END	1628678207268	1628678207294
USER	SageMaker	27	START	1628678207368	1628678207368
REQUEST	27		SageMaker-LEARNING-model-simulator-1	1628678207370	1628678207395	OK	 
USER	SageMaker	27	END	1628678207368	1628678207396
USER	SageMaker	28	START	1628678207468	1628678207468
REQUEST	28		SageMaker-LEARNING-model-simulator-1	1628678207470	1628678207483	OK	 
USER	SageMaker	28	END	1628678207468	1628678207484
USER	SageMaker	29	START	1628678207568	1628678207568
REQUEST	29		SageMaker-LEARNING-model-simulator-1	1628678207570	1628678207582	OK	 
USER	SageMaker	29	END	1628678207568	1628678207584
USER	SageMaker	30	START	1628678207668	1628678207668
REQUEST	30		SageMaker-LEARNING-model-simulator-1	1628678207670	1628678207682	OK	 
USER	SageMaker	30	END	1628678207668	1628678207683
USER	SageMaker	31	START	1628678207768	1628678207768
REQUEST	31		SageMaker-LEARNING-model-simulator-1	1628678207770	1628678207783	OK	 
USER	SageMaker	31	END	1628678207768	1628678207784
USER	SageMaker	32	START	1628678207868	1628678207868
REQUEST	32		SageMaker-LEARNING-model-simulator-1	1628678207870	1628678207893	OK	 
USER	SageMaker	32	END	1628678207868	1628678207895
USER	SageMaker	33	START	1628678207968	1628678207968
REQUEST	33		SageMaker-LEARNING-model-simulator-1	1628678207970	1628678207983	OK	 
USER	SageMaker	33	END	1628678207968	1628678207984
USER	SageMaker	34	START	1628678208068	1628678208068
REQUEST	34		SageMaker-LEARNING-model-simulator-1	1628678208070	1628678208083	OK	 
USER	SageMaker	34	END	1628678208068	1628678208084
USER	SageMaker	35	START	1628678208168	1628678208168
REQUEST	35		SageMaker-LEARNING-model-simulator-1	1628678208170	1628678208197	OK	 
USER	SageMaker	35	END	1628678208168	1628678208198
USER	SageMaker	36	START	1628678208268	1628678208268
REQUEST	36		SageMaker-LEARNING-model-simulator-1	1628678208270	1628678208282	OK	 
USER	SageMaker	36	END	1628678208268	1628678208283
USER	SageMaker	37	START	1628678208368	1628678208368
REQUEST	37		SageMaker-LEARNING-model-simulator-1	1628678208370	1628678208385	OK	 
USER	SageMaker	37	END	1628678208368	1628678208386
USER	SageMaker	38	START	1628678208468	1628678208468
