RUN	GenericSageMakerScenario	1628678014-ml.m5.large-1-9TPS	1628678016680	 	3.2.0
USER	SageMaker	1	START	1628678018966	1628678018966
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628678019002	1628678019038	OK	 
USER	SageMaker	1	END	1628678018966	1628678019059
USER	SageMaker	2	START	1628678019076	1628678019076
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628678019078	1628678019101	OK	 
USER	SageMaker	2	END	1628678019076	1628678019103
USER	SageMaker	3	START	1628678019186	1628678019186
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628678019189	1628678019217	OK	 
USER	SageMaker	3	END	1628678019186	1628678019219
USER	SageMaker	4	START	1628678019296	1628678019296
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628678019299	1628678019324	OK	 
USER	SageMaker	4	END	1628678019296	1628678019325
USER	SageMaker	5	START	1628678019406	1628678019406
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628678019409	1628678019436	OK	 
USER	SageMaker	5	END	1628678019406	1628678019437
USER	SageMaker	6	START	1628678019526	1628678019526
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628678019528	1628678019549	OK	 
USER	SageMaker	6	END	1628678019526	1628678019550
USER	SageMaker	7	START	1628678019636	1628678019636
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628678019638	1628678019667	OK	 
USER	SageMaker	7	END	1628678019636	1628678019669
USER	SageMaker	8	START	1628678019746	1628678019746
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628678019749	1628678019776	OK	 
USER	SageMaker	8	END	1628678019746	1628678019777
USER	SageMaker	9	START	1628678019856	1628678019856
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628678019858	1628678019888	OK	 
USER	SageMaker	9	END	1628678019856	1628678019889
USER	SageMaker	10	START	1628678019966	1628678019966
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628678019968	1628678019990	OK	 
USER	SageMaker	10	END	1628678019966	1628678019991
USER	SageMaker	11	START	1628678020076	1628678020076
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628678020078	1628678020090	OK	 
USER	SageMaker	11	END	1628678020076	1628678020092
USER	SageMaker	12	START	1628678020186	1628678020186
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628678020188	1628678020213	OK	 
USER	SageMaker	12	END	1628678020186	1628678020214
