RUN	GenericSageMakerScenario	1628679691-ml.m5.large-1-90TPS	1628679693457	 	3.2.0
USER	SageMaker	1	START	1628679695639	1628679695639
USER	SageMaker	2	START	1628679695649	1628679695649
USER	SageMaker	3	START	1628679695659	1628679695659
USER	SageMaker	4	START	1628679695669	1628679695669
USER	SageMaker	5	START	1628679695679	1628679695679
USER	SageMaker	6	START	1628679695689	1628679695689
USER	SageMaker	7	START	1628679695709	1628679695709
USER	SageMaker	8	START	1628679695719	1628679695719
USER	SageMaker	9	START	1628679695729	1628679695729
USER	SageMaker	10	START	1628679695739	1628679695739
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628679695691	1628679695722	OK	 
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628679695680	1628679695722	OK	 
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628679695679	1628679695734	OK	 
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628679695684	1628679695720	OK	 
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628679695682	1628679695728	OK	 
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628679695676	1628679695734	OK	 
USER	SageMaker	11	START	1628679695749	1628679695749
USER	SageMaker	6	END	1628679695689	1628679695750
USER	SageMaker	1	END	1628679695639	1628679695752
USER	SageMaker	3	END	1628679695659	1628679695752
USER	SageMaker	2	END	1628679695649	1628679695752
USER	SageMaker	5	END	1628679695679	1628679695752
USER	SageMaker	4	END	1628679695669	1628679695752
USER	SageMaker	12	START	1628679695759	1628679695759
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628679695751	1628679695765	OK	 
USER	SageMaker	11	END	1628679695749	1628679695766
USER	SageMaker	13	START	1628679695769	1628679695769
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628679695721	1628679695771	OK	 
USER	SageMaker	8	END	1628679695719	1628679695772
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628679695741	1628679695772	OK	 
USER	SageMaker	10	END	1628679695739	1628679695773
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628679695711	1628679695775	OK	 
USER	SageMaker	7	END	1628679695709	1628679695775
USER	SageMaker	14	START	1628679695779	1628679695779
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628679695731	1628679695781	OK	 
USER	SageMaker	9	END	1628679695729	1628679695782
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628679695761	1628679695782	OK	 
