RUN	GenericSageMakerScenario	1628677828-ml.m5.large-1-8TPS	1628677830681	 	3.2.0
USER	SageMaker	1	START	1628677832843	1628677832843
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628677832876	1628677832906	OK	 
USER	SageMaker	1	END	1628677832843	1628677832927
USER	SageMaker	2	START	1628677832963	1628677832963
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628677832965	1628677832989	OK	 
USER	SageMaker	2	END	1628677832963	1628677832990
USER	SageMaker	3	START	1628677833103	1628677833103
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628677833105	1628677833130	OK	 
USER	SageMaker	3	END	1628677833103	1628677833131
USER	SageMaker	4	START	1628677833223	1628677833223
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628677833226	1628677833251	OK	 
USER	SageMaker	4	END	1628677833223	1628677833253
USER	SageMaker	5	START	1628677833353	1628677833353
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628677833356	1628677833385	OK	 
USER	SageMaker	5	END	1628677833353	1628677833387
USER	SageMaker	6	START	1628677833473	1628677833473
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628677833475	1628677833498	OK	 
USER	SageMaker	6	END	1628677833473	1628677833500
USER	SageMaker	7	START	1628677833603	1628677833603
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628677833606	1628677833617	OK	 
USER	SageMaker	7	END	1628677833603	1628677833619
USER	SageMaker	8	START	1628677833723	1628677833723
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628677833726	1628677833748	OK	 
USER	SageMaker	8	END	1628677833723	1628677833750
USER	SageMaker	9	START	1628677833853	1628677833853
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628677833855	1628677833880	OK	 
USER	SageMaker	9	END	1628677833853	1628677833882
USER	SageMaker	10	START	1628677833973	1628677833973
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628677833975	1628677834000	OK	 
USER	SageMaker	10	END	1628677833973	1628677834001
USER	SageMaker	11	START	1628677834093	1628677834093
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628677834096	1628677834118	OK	 
USER	SageMaker	11	END	1628677834093	1628677834119
USER	SageMaker	12	START	1628677834223	1628677834223
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628677834226	1628677834252	OK	 
USER	SageMaker	12	END	1628677834223	1628677834253
USER	SageMaker	13	START	1628677834343	1628677834343
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628677834346	1628677834368	OK	 
USER	SageMaker	13	END	1628677834343	1628677834369
USER	SageMaker	14	START	1628677834473	1628677834473
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628677834476	1628677834499	OK	 
USER	SageMaker	14	END	1628677834473	1628677834500
USER	SageMaker	15	START	1628677834593	1628677834593
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628677834601	1628677834622	OK	 
USER	SageMaker	15	END	1628677834593	1628677834623
USER	SageMaker	16	START	1628677834723	1628677834723
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628677834726	1628677834747	OK	 
USER	SageMaker	16	END	1628677834723	1628677834749
USER	SageMaker	17	START	1628677834843	1628677834843
