RUN	GenericSageMakerScenario	1628679877-ml.m5.large-1-100TPS	1628679879817	 	3.2.0
USER	SageMaker	1	START	1628679882118	1628679882118
USER	SageMaker	2	START	1628679882128	1628679882128
USER	SageMaker	3	START	1628679882137	1628679882137
USER	SageMaker	4	START	1628679882147	1628679882147
USER	SageMaker	5	START	1628679882157	1628679882157
USER	SageMaker	6	START	1628679882167	1628679882167
USER	SageMaker	7	START	1628679882177	1628679882177
USER	SageMaker	8	START	1628679882187	1628679882187
USER	SageMaker	9	START	1628679882198	1628679882198
USER	SageMaker	10	START	1628679882208	1628679882208
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628679882163	1628679882197	OK	 
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628679882169	1628679882198	OK	 
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628679882159	1628679882190	OK	 
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628679882161	1628679882195	OK	 
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628679882165	1628679882195	OK	 
USER	SageMaker	11	START	1628679882217	1628679882217
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628679882156	1628679882218	OK	 
USER	SageMaker	5	END	1628679882157	1628679882219
USER	SageMaker	1	END	1628679882118	1628679882219
USER	SageMaker	6	END	1628679882167	1628679882220
USER	SageMaker	3	END	1628679882137	1628679882220
USER	SageMaker	4	END	1628679882147	1628679882221
USER	SageMaker	2	END	1628679882128	1628679882221
USER	SageMaker	12	START	1628679882227	1628679882227
USER	SageMaker	13	START	1628679882237	1628679882237
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628679882210	1628679882245	OK	 
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628679882218	1628679882245	OK	 
USER	SageMaker	10	END	1628679882208	1628679882246
USER	SageMaker	11	END	1628679882217	1628679882246
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628679882199	1628679882247	OK	 
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628679882179	1628679882247	OK	 
USER	SageMaker	14	START	1628679882247	1628679882247
USER	SageMaker	9	END	1628679882198	1628679882248
USER	SageMaker	7	END	1628679882177	1628679882248
