RUN	GenericSageMakerScenario	1628678386-ml.m5.large-1-20TPS	1628678388434	 	3.2.0
USER	SageMaker	1	START	1628678390819	1628678390819
USER	SageMaker	2	START	1628678390870	1628678390870
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628678390855	1628678390891	OK	 
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628678390872	1628678390896	OK	 
USER	SageMaker	2	END	1628678390870	1628678390919
USER	SageMaker	1	END	1628678390819	1628678390919
USER	SageMaker	3	START	1628678390919	1628678390919
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628678390921	1628678390944	OK	 
USER	SageMaker	3	END	1628678390919	1628678390945
USER	SageMaker	4	START	1628678390970	1628678390970
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628678390972	1628678390995	OK	 
USER	SageMaker	4	END	1628678390970	1628678390996
USER	SageMaker	5	START	1628678391019	1628678391019
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628678391021	1628678391043	OK	 
USER	SageMaker	5	END	1628678391019	1628678391044
USER	SageMaker	6	START	1628678391069	1628678391069
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628678391072	1628678391095	OK	 
USER	SageMaker	6	END	1628678391069	1628678391097
USER	SageMaker	7	START	1628678391120	1628678391120
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628678391122	1628678391143	OK	 
USER	SageMaker	7	END	1628678391120	1628678391145
USER	SageMaker	8	START	1628678391169	1628678391169
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628678391172	1628678391197	OK	 
USER	SageMaker	8	END	1628678391169	1628678391198
USER	SageMaker	9	START	1628678391220	1628678391220
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628678391222	1628678391244	OK	 
USER	SageMaker	9	END	1628678391220	1628678391245
USER	SageMaker	10	START	1628678391269	1628678391269
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628678391271	1628678391292	OK	 
USER	SageMaker	10	END	1628678391269	1628678391294
USER	SageMaker	11	START	1628678391320	1628678391320
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628678391322	1628678391343	OK	 
USER	SageMaker	11	END	1628678391320	1628678391344
USER	SageMaker	12	START	1628678391369	1628678391369
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628678391371	1628678391391	OK	 
USER	SageMaker	12	END	1628678391369	1628678391393
USER	SageMaker	13	START	1628678391419	1628678391419
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628678391421	1628678391432	OK	 
USER	SageMaker	13	END	1628678391419	1628678391434
USER	SageMaker	14	START	1628678391470	1628678391470
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628678391472	1628678391498	OK	 
USER	SageMaker	14	END	1628678391470	1628678391500
USER	SageMaker	15	START	1628678391520	1628678391520
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628678391522	1628678391548	OK	 
USER	SageMaker	15	END	1628678391520	1628678391549
USER	SageMaker	16	START	1628678391579	1628678391579
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628678391581	1628678391604	OK	 
USER	SageMaker	16	END	1628678391579	1628678391605
USER	SageMaker	17	START	1628678391629	1628678391629
REQUEST	17		SageMaker-LEARNING-model-simulator-1	1628678391631	1628678391643	OK	 
