RUN	GenericSageMakerScenario	1628678945-ml.m5.large-1-50TPS	1628678947464	 	3.2.0
USER	SageMaker	1	START	1628678949709	1628678949709
USER	SageMaker	2	START	1628678949730	1628678949730
USER	SageMaker	3	START	1628678949750	1628678949750
USER	SageMaker	4	START	1628678949770	1628678949770
USER	SageMaker	5	START	1628678949789	1628678949789
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628678949752	1628678949785	OK	 
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628678949748	1628678949779	OK	 
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628678949773	1628678949799	OK	 
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628678949745	1628678949786	OK	 
USER	SageMaker	1	END	1628678949709	1628678949807
USER	SageMaker	3	END	1628678949750	1628678949808
USER	SageMaker	2	END	1628678949730	1628678949808
USER	SageMaker	4	END	1628678949770	1628678949808
USER	SageMaker	6	START	1628678949809	1628678949809
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628678949791	1628678949822	OK	 
USER	SageMaker	5	END	1628678949789	1628678949824
USER	SageMaker	7	START	1628678949830	1628678949830
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628678949812	1628678949837	OK	 
USER	SageMaker	6	END	1628678949809	1628678949838
USER	SageMaker	8	START	1628678949850	1628678949850
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628678949832	1628678949854	OK	 
USER	SageMaker	7	END	1628678949830	1628678949854
USER	SageMaker	9	START	1628678949870	1628678949870
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628678949852	1628678949872	OK	 
USER	SageMaker	8	END	1628678949850	1628678949873
USER	SageMaker	10	START	1628678949889	1628678949889
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628678949872	1628678949898	OK	 
USER	SageMaker	9	END	1628678949870	1628678949899
USER	SageMaker	11	START	1628678949909	1628678949909
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628678949891	1628678949918	OK	 
USER	SageMaker	10	END	1628678949889	1628678949919
USER	SageMaker	12	START	1628678949930	1628678949930
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628678949911	1628678949932	OK	 
USER	SageMaker	11	END	1628678949909	1628678949934
USER	SageMaker	13	START	1628678949950	1628678949950
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628678949932	1628678949953	OK	 
USER	SageMaker	12	END	1628678949930	1628678949954
