RUN	GenericSageMakerScenario	1628677271-ml.m5.large-1-5TPS	1628677272947	 	3.2.0
USER	SageMaker	1	START	1628677275328	1628677275328
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628677275363	1628677275405	OK	 
USER	SageMaker	1	END	1628677275328	1628677275430
USER	SageMaker	2	START	1628677275529	1628677275529
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628677275531	1628677275556	OK	 
USER	SageMaker	2	END	1628677275529	1628677275558
USER	SageMaker	3	START	1628677275728	1628677275728
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628677275731	1628677275758	OK	 
USER	SageMaker	3	END	1628677275728	1628677275759
USER	SageMaker	4	START	1628677275929	1628677275929
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628677275932	1628677275955	OK	 
USER	SageMaker	4	END	1628677275929	1628677275957
USER	SageMaker	5	START	1628677276128	1628677276128
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628677276131	1628677276157	OK	 
USER	SageMaker	5	END	1628677276128	1628677276158
USER	SageMaker	6	START	1628677276329	1628677276329
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628677276331	1628677276357	OK	 
USER	SageMaker	6	END	1628677276329	1628677276358
USER	SageMaker	7	START	1628677276528	1628677276528
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628677276530	1628677276551	OK	 
USER	SageMaker	7	END	1628677276528	1628677276552
USER	SageMaker	8	START	1628677276729	1628677276729
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628677276731	1628677276753	OK	 
USER	SageMaker	8	END	1628677276729	1628677276754
USER	SageMaker	9	START	1628677276928	1628677276928
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628677276931	1628677276955	OK	 
USER	SageMaker	9	END	1628677276928	1628677276956
USER	SageMaker	10	START	1628677277129	1628677277129
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628677277131	1628677277157	OK	 
USER	SageMaker	10	END	1628677277129	1628677277159
USER	SageMaker	11	START	1628677277328	1628677277328
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628677277330	1628677277347	OK	 
USER	SageMaker	11	END	1628677277328	1628677277348
USER	SageMaker	12	START	1628677277528	1628677277528
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628677277530	1628677277542	OK	 
USER	SageMaker	12	END	1628677277528	1628677277543
USER	SageMaker	13	START	1628677277729	1628677277729
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628677277731	1628677277753	OK	 
USER	SageMaker	13	END	1628677277729	1628677277754
USER	SageMaker	14	START	1628677277928	1628677277928
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628677277930	1628677277958	OK	 
USER	SageMaker	14	END	1628677277928	1628677277960
USER	SageMaker	15	START	1628677278129	1628677278129
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628677278136	1628677278156	OK	 
USER	SageMaker	15	END	1628677278129	1628677278158
USER	SageMaker	16	START	1628677278328	1628677278328
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628677278330	1628677278354	OK	 
USER	SageMaker	16	END	1628677278328	1628677278355
USER	SageMaker	17	START	1628677278529	1628677278529
REQUEST	17		SageMaker-LEARNING-model-simulator-1	1628677278531	1628677278553	OK	 
USER	SageMaker	17	END	1628677278529	1628677278555
USER	SageMaker	18	START	1628677278728	1628677278728
REQUEST	18		SageMaker-LEARNING-model-simulator-1	1628677278730	1628677278756	OK	 
USER	SageMaker	18	END	1628677278728	1628677278758
USER	SageMaker	19	START	1628677278928	1628677278928
REQUEST	19		SageMaker-LEARNING-model-simulator-1	1628677278930	1628677278953	OK	 
USER	SageMaker	19	END	1628677278928	1628677278954
USER	SageMaker	20	START	1628677279129	1628677279129
REQUEST	20		SageMaker-LEARNING-model-simulator-1	1628677279131	1628677279143	OK	 
USER	SageMaker	20	END	1628677279129	1628677279144
USER	SageMaker	21	START	1628677279328	1628677279328
REQUEST	21		SageMaker-LEARNING-model-simulator-1	1628677279330	1628677279354	OK	 
USER	SageMaker	21	END	1628677279328	1628677279355
USER	SageMaker	22	START	1628677279529	1628677279529
REQUEST	22		SageMaker-LEARNING-model-simulator-1	1628677279531	1628677279556	OK	 
USER	SageMaker	22	END	1628677279529	1628677279557
USER	SageMaker	23	START	1628677279728	1628677279728
REQUEST	23		SageMaker-LEARNING-model-simulator-1	1628677279731	1628677279756	OK	 
USER	SageMaker	23	END	1628677279728	1628677279758
USER	SageMaker	24	START	1628677279928	1628677279928
REQUEST	24		SageMaker-LEARNING-model-simulator-1	1628677279930	1628677279954	OK	 
USER	SageMaker	24	END	1628677279928	1628677279955
USER	SageMaker	25	START	1628677280128	1628677280128
REQUEST	25		SageMaker-LEARNING-model-simulator-1	1628677280130	1628677280155	OK	 
USER	SageMaker	25	END	1628677280128	1628677280156
USER	SageMaker	26	START	1628677280328	1628677280328
REQUEST	26		SageMaker-LEARNING-model-simulator-1	1628677280330	1628677280342	OK	 
USER	SageMaker	26	END	1628677280328	1628677280343
USER	SageMaker	27	START	1628677280529	1628677280529
REQUEST	27		SageMaker-LEARNING-model-simulator-1	1628677280531	1628677280555	OK	 
USER	SageMaker	27	END	1628677280529	1628677280557
USER	SageMaker	28	START	1628677280728	1628677280728
REQUEST	28		SageMaker-LEARNING-model-simulator-1	1628677280730	1628677280751	OK	 
USER	SageMaker	28	END	1628677280728	1628677280752
USER	SageMaker	29	START	1628677280929	1628677280929
REQUEST	29		SageMaker-LEARNING-model-simulator-1	1628677280931	1628677280969	OK	 
USER	SageMaker	29	END	1628677280929	1628677280971
USER	SageMaker	30	START	1628677281128	1628677281128
REQUEST	30		SageMaker-LEARNING-model-simulator-1	1628677281130	1628677281158	OK	 
USER	SageMaker	30	END	1628677281128	1628677281159
USER	SageMaker	31	START	1628677281328	1628677281328
REQUEST	31		SageMaker-LEARNING-model-simulator-1	1628677281330	1628677281350	OK	 
USER	SageMaker	31	END	1628677281328	1628677281352
