RUN	GenericSageMakerScenario	1628676529-ml.m5.large-1-1TPS	1628676531239	 	3.2.0
USER	SageMaker	1	START	1628676533610	1628676533610
REQUEST	1		SageMaker-LEARNING-model-simulator-1	1628676533646	1628676533777	OK	 
USER	SageMaker	1	END	1628676533610	1628676533803
USER	SageMaker	2	START	1628676534610	1628676534610
REQUEST	2		SageMaker-LEARNING-model-simulator-1	1628676534613	1628676534680	OK	 
USER	SageMaker	2	END	1628676534610	1628676534682
USER	SageMaker	3	START	1628676535610	1628676535610
REQUEST	3		SageMaker-LEARNING-model-simulator-1	1628676535613	1628676535668	OK	 
USER	SageMaker	3	END	1628676535610	1628676535670
USER	SageMaker	4	START	1628676536611	1628676536611
REQUEST	4		SageMaker-LEARNING-model-simulator-1	1628676536614	1628676536672	OK	 
USER	SageMaker	4	END	1628676536611	1628676536673
USER	SageMaker	5	START	1628676537611	1628676537611
REQUEST	5		SageMaker-LEARNING-model-simulator-1	1628676537613	1628676537676	OK	 
USER	SageMaker	5	END	1628676537611	1628676537677
USER	SageMaker	6	START	1628676538611	1628676538611
REQUEST	6		SageMaker-LEARNING-model-simulator-1	1628676538613	1628676538666	OK	 
USER	SageMaker	6	END	1628676538611	1628676538667
USER	SageMaker	7	START	1628676539610	1628676539610
REQUEST	7		SageMaker-LEARNING-model-simulator-1	1628676539613	1628676539666	OK	 
USER	SageMaker	7	END	1628676539610	1628676539670
USER	SageMaker	8	START	1628676540610	1628676540610
REQUEST	8		SageMaker-LEARNING-model-simulator-1	1628676540613	1628676540666	OK	 
USER	SageMaker	8	END	1628676540610	1628676540668
USER	SageMaker	9	START	1628676541610	1628676541610
REQUEST	9		SageMaker-LEARNING-model-simulator-1	1628676541612	1628676541675	OK	 
USER	SageMaker	9	END	1628676541610	1628676541677
USER	SageMaker	10	START	1628676542610	1628676542610
REQUEST	10		SageMaker-LEARNING-model-simulator-1	1628676542612	1628676542667	OK	 
USER	SageMaker	10	END	1628676542610	1628676542669
USER	SageMaker	11	START	1628676543611	1628676543611
REQUEST	11		SageMaker-LEARNING-model-simulator-1	1628676543613	1628676543665	OK	 
USER	SageMaker	11	END	1628676543611	1628676543666
USER	SageMaker	12	START	1628676544610	1628676544610
REQUEST	12		SageMaker-LEARNING-model-simulator-1	1628676544613	1628676544667	OK	 
USER	SageMaker	12	END	1628676544610	1628676544669
USER	SageMaker	13	START	1628676545610	1628676545610
REQUEST	13		SageMaker-LEARNING-model-simulator-1	1628676545612	1628676545641	OK	 
USER	SageMaker	13	END	1628676545610	1628676545642
USER	SageMaker	14	START	1628676546611	1628676546611
REQUEST	14		SageMaker-LEARNING-model-simulator-1	1628676546613	1628676546669	OK	 
USER	SageMaker	14	END	1628676546611	1628676546672
USER	SageMaker	15	START	1628676547610	1628676547610
REQUEST	15		SageMaker-LEARNING-model-simulator-1	1628676547613	1628676547665	OK	 
USER	SageMaker	15	END	1628676547610	1628676547667
USER	SageMaker	16	START	1628676548610	1628676548610
REQUEST	16		SageMaker-LEARNING-model-simulator-1	1628676548612	1628676548707	OK	 
USER	SageMaker	16	END	1628676548610	1628676548709
USER	SageMaker	17	START	1628676549611	1628676549611
REQUEST	17		SageMaker-LEARNING-model-simulator-1	1628676549613	1628676549672	OK	 
USER	SageMaker	17	END	1628676549611	1628676549674
USER	SageMaker	18	START	1628676550610	1628676550610
REQUEST	18		SageMaker-LEARNING-model-simulator-1	1628676550612	1628676550664	OK	 
USER	SageMaker	18	END	1628676550610	1628676550665
USER	SageMaker	19	START	1628676551611	1628676551611
REQUEST	19		SageMaker-LEARNING-model-simulator-1	1628676551613	1628676551630	OK	 
USER	SageMaker	19	END	1628676551611	1628676551631
USER	SageMaker	20	START	1628676552611	1628676552611
REQUEST	20		SageMaker-LEARNING-model-simulator-1	1628676552613	1628676552662	OK	 
USER	SageMaker	20	END	1628676552611	1628676552664
USER	SageMaker	21	START	1628676553610	1628676553610
REQUEST	21		SageMaker-LEARNING-model-simulator-1	1628676553612	1628676553630	OK	 
USER	SageMaker	21	END	1628676553610	1628676553631
USER	SageMaker	22	START	1628676554610	1628676554610
REQUEST	22		SageMaker-LEARNING-model-simulator-1	1628676554612	1628676554669	OK	 
USER	SageMaker	22	END	1628676554610	1628676554671
USER	SageMaker	23	START	1628676555611	1628676555611
REQUEST	23		SageMaker-LEARNING-model-simulator-1	1628676555613	1628676555661	OK	 
USER	SageMaker	23	END	1628676555611	1628676555662
USER	SageMaker	24	START	1628676556610	1628676556610
REQUEST	24		SageMaker-LEARNING-model-simulator-1	1628676556612	1628676556672	OK	 
USER	SageMaker	24	END	1628676556610	1628676556673
USER	SageMaker	25	START	1628676557610	1628676557610
REQUEST	25		SageMaker-LEARNING-model-simulator-1	1628676557612	1628676557670	OK	 
USER	SageMaker	25	END	1628676557610	1628676557672
USER	SageMaker	26	START	1628676558611	1628676558611
REQUEST	26		SageMaker-LEARNING-model-simulator-1	1628676558613	1628676558665	OK	 
USER	SageMaker	26	END	1628676558611	1628676558667
USER	SageMaker	27	START	1628676559610	1628676559610
REQUEST	27		SageMaker-LEARNING-model-simulator-1	1628676559612	1628676559673	OK	 
USER	SageMaker	27	END	1628676559610	1628676559674
USER	SageMaker	28	START	1628676560610	1628676560610
REQUEST	28		SageMaker-LEARNING-model-simulator-1	1628676560612	1628676560633	OK	 
USER	SageMaker	28	END	1628676560610	1628676560635
USER	SageMaker	29	START	1628676561610	1628676561610
REQUEST	29		SageMaker-LEARNING-model-simulator-1	1628676561612	1628676561660	OK	 
USER	SageMaker	29	END	1628676561610	1628676561661
USER	SageMaker	30	START	1628676562610	1628676562610
REQUEST	30		SageMaker-LEARNING-model-simulator-1	1628676562612	1628676562665	OK	 
USER	SageMaker	30	END	1628676562610	1628676562666
USER	SageMaker	31	START	1628676563611	1628676563611
REQUEST	31		SageMaker-LEARNING-model-simulator-1	1628676563613	1628676563668	OK	 
USER	SageMaker	31	END	1628676563611	1628676563669
USER	SageMaker	32	START	1628676564611	1628676564611
REQUEST	32		SageMaker-LEARNING-model-simulator-1	1628676564612	1628676564663	OK	 
USER	SageMaker	32	END	1628676564611	1628676564664
USER	SageMaker	33	START	1628676565610	1628676565610
REQUEST	33		SageMaker-LEARNING-model-simulator-1	1628676565612	1628676565667	OK	 
USER	SageMaker	33	END	1628676565610	1628676565668
USER	SageMaker	34	START	1628676566611	1628676566611
REQUEST	34		SageMaker-LEARNING-model-simulator-1	1628676566613	1628676566663	OK	 
USER	SageMaker	34	END	1628676566611	1628676566665
USER	SageMaker	35	START	1628676567610	1628676567610
REQUEST	35		SageMaker-LEARNING-model-simulator-1	1628676567612	1628676567662	OK	 
USER	SageMaker	35	END	1628676567610	1628676567663
USER	SageMaker	36	START	1628676568610	1628676568610
REQUEST	36		SageMaker-LEARNING-model-simulator-1	1628676568612	1628676568665	OK	 
USER	SageMaker	36	END	1628676568610	1628676568667
USER	SageMaker	37	START	1628676569611	1628676569611
REQUEST	37		SageMaker-LEARNING-model-simulator-1	1628676569612	1628676569632	OK	 
USER	SageMaker	37	END	1628676569611	1628676569633
USER	SageMaker	38	START	1628676570610	1628676570610
REQUEST	38		SageMaker-LEARNING-model-simulator-1	1628676570612	1628676570661	OK	 
USER	SageMaker	38	END	1628676570610	1628676570662
USER	SageMaker	39	START	1628676571611	1628676571611
REQUEST	39		SageMaker-LEARNING-model-simulator-1	1628676571612	1628676571628	OK	 
USER	SageMaker	39	END	1628676571611	1628676571629
USER	SageMaker	40	START	1628676572610	1628676572610
REQUEST	40		SageMaker-LEARNING-model-simulator-1	1628676572612	1628676572662	OK	 
USER	SageMaker	40	END	1628676572610	1628676572663
USER	SageMaker	41	START	1628676573611	1628676573611
REQUEST	41		SageMaker-LEARNING-model-simulator-1	1628676573613	1628676573659	OK	 
USER	SageMaker	41	END	1628676573611	1628676573661
USER	SageMaker	42	START	1628676574611	1628676574611
REQUEST	42		SageMaker-LEARNING-model-simulator-1	1628676574612	1628676574629	OK	 
USER	SageMaker	42	END	1628676574611	1628676574630
USER	SageMaker	43	START	1628676575610	1628676575610
REQUEST	43		SageMaker-LEARNING-model-simulator-1	1628676575612	1628676575666	OK	 
USER	SageMaker	43	END	1628676575610	1628676575667
USER	SageMaker	44	START	1628676576610	1628676576610
REQUEST	44		SageMaker-LEARNING-model-simulator-1	1628676576612	1628676576659	OK	 
USER	SageMaker	44	END	1628676576610	1628676576661
USER	SageMaker	45	START	1628676577610	1628676577610
REQUEST	45		SageMaker-LEARNING-model-simulator-1	1628676577612	1628676577671	OK	 
USER	SageMaker	45	END	1628676577610	1628676577672
USER	SageMaker	46	START	1628676578611	1628676578611
REQUEST	46		SageMaker-LEARNING-model-simulator-1	1628676578613	1628676578635	OK	 
USER	SageMaker	46	END	1628676578611	1628676578636
USER	SageMaker	47	START	1628676579610	1628676579610
REQUEST	47		SageMaker-LEARNING-model-simulator-1	1628676579612	1628676579660	OK	 
USER	SageMaker	47	END	1628676579610	1628676579661
USER	SageMaker	48	START	1628676580611	1628676580611
REQUEST	48		SageMaker-LEARNING-model-simulator-1	1628676580613	1628676580663	OK	 
USER	SageMaker	48	END	1628676580611	1628676580664
USER	SageMaker	49	START	1628676581611	1628676581611
REQUEST	49		SageMaker-LEARNING-model-simulator-1	1628676581612	1628676581666	OK	 
USER	SageMaker	49	END	1628676581611	1628676581667
USER	SageMaker	50	START	1628676582610	1628676582610
REQUEST	50		SageMaker-LEARNING-model-simulator-1	1628676582612	1628676582633	OK	 
USER	SageMaker	50	END	1628676582610	1628676582634
USER	SageMaker	51	START	1628676583611	1628676583611
REQUEST	51		SageMaker-LEARNING-model-simulator-1	1628676583613	1628676583684	OK	 
USER	SageMaker	51	END	1628676583611	1628676583685
USER	SageMaker	52	START	1628676584611	1628676584611
REQUEST	52		SageMaker-LEARNING-model-simulator-1	1628676584613	1628676584629	OK	 
USER	SageMaker	52	END	1628676584611	1628676584630
USER	SageMaker	53	START	1628676585610	1628676585610
REQUEST	53		SageMaker-LEARNING-model-simulator-1	1628676585612	1628676585627	OK	 
USER	SageMaker	53	END	1628676585610	1628676585628
USER	SageMaker	54	START	1628676586610	1628676586610
REQUEST	54		SageMaker-LEARNING-model-simulator-1	1628676586612	1628676586658	OK	 
USER	SageMaker	54	END	1628676586610	1628676586659
USER	SageMaker	55	START	1628676587611	1628676587611
REQUEST	55		SageMaker-LEARNING-model-simulator-1	1628676587612	1628676587661	OK	 
USER	SageMaker	55	END	1628676587611	1628676587662
USER	SageMaker	56	START	1628676588610	1628676588610
REQUEST	56		SageMaker-LEARNING-model-simulator-1	1628676588612	1628676588665	OK	 
USER	SageMaker	56	END	1628676588610	1628676588666
USER	SageMaker	57	START	1628676589610	1628676589610
REQUEST	57		SageMaker-LEARNING-model-simulator-1	1628676589612	1628676589664	OK	 
USER	SageMaker	57	END	1628676589610	1628676589665
USER	SageMaker	58	START	1628676590610	1628676590610
REQUEST	58		SageMaker-LEARNING-model-simulator-1	1628676590612	1628676590627	OK	 
USER	SageMaker	58	END	1628676590610	1628676590627
USER	SageMaker	59	START	1628676591611	1628676591611
REQUEST	59		SageMaker-LEARNING-model-simulator-1	1628676591612	1628676591628	OK	 
USER	SageMaker	59	END	1628676591611	1628676591629
USER	SageMaker	60	START	1628676592611	1628676592611
REQUEST	60		SageMaker-LEARNING-model-simulator-1	1628676592612	1628676592660	OK	 
USER	SageMaker	60	END	1628676592611	1628676592661
USER	SageMaker	61	START	1628676593611	1628676593611
REQUEST	61		SageMaker-LEARNING-model-simulator-1	1628676593612	1628676593660	OK	 
USER	SageMaker	61	END	1628676593611	1628676593661
USER	SageMaker	62	START	1628676594610	1628676594610
REQUEST	62		SageMaker-LEARNING-model-simulator-1	1628676594612	1628676594666	OK	 
USER	SageMaker	62	END	1628676594610	1628676594667
USER	SageMaker	63	START	1628676595610	1628676595610
REQUEST	63		SageMaker-LEARNING-model-simulator-1	1628676595611	1628676595631	OK	 
USER	SageMaker	63	END	1628676595610	1628676595632
USER	SageMaker	64	START	1628676596611	1628676596611
REQUEST	64		SageMaker-LEARNING-model-simulator-1	1628676596612	1628676596632	OK	 
USER	SageMaker	64	END	1628676596611	1628676596633
USER	SageMaker	65	START	1628676597610	1628676597610
REQUEST	65		SageMaker-LEARNING-model-simulator-1	1628676597611	1628676597656	OK	 
USER	SageMaker	65	END	1628676597610	1628676597657
USER	SageMaker	66	START	1628676598610	1628676598610
REQUEST	66		SageMaker-LEARNING-model-simulator-1	1628676598612	1628676598668	OK	 
USER	SageMaker	66	END	1628676598610	1628676598669
USER	SageMaker	67	START	1628676599610	1628676599610
REQUEST	67		SageMaker-LEARNING-model-simulator-1	1628676599611	1628676599665	OK	 
USER	SageMaker	67	END	1628676599610	1628676599666
USER	SageMaker	68	START	1628676600610	1628676600610
